GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US360850003000,360850003000,"Block Group 0, Census Tract 3, Richmond County, New York",0,11
1500000US360850003001,360850003001,"Block Group 1, Census Tract 3, Richmond County, New York",911,166
1500000US360850003002,360850003002,"Block Group 2, Census Tract 3, Richmond County, New York",1008,194
1500000US360850006000,360850006000,"Block Group 0, Census Tract 6, Richmond County, New York",0,11
1500000US360850006001,360850006001,"Block Group 1, Census Tract 6, Richmond County, New York",363,146
1500000US360850006002,360850006002,"Block Group 2, Census Tract 6, Richmond County, New York",1841,242
1500000US360850007000,360850007000,"Block Group 0, Census Tract 7, Richmond County, New York",0,11
1500000US360850007001,360850007001,"Block Group 1, Census Tract 7, Richmond County, New York",2206,847
1500000US360850007002,360850007002,"Block Group 2, Census Tract 7, Richmond County, New York",731,320
1500000US360850007003,360850007003,"Block Group 3, Census Tract 7, Richmond County, New York",1223,589
1500000US360850007004,360850007004,"Block Group 4, Census Tract 7, Richmond County, New York",2068,532
1500000US360850008001,360850008001,"Block Group 1, Census Tract 8, Richmond County, New York",1407,367
1500000US360850008002,360850008002,"Block Group 2, Census Tract 8, Richmond County, New York",2098,406
1500000US360850008003,360850008003,"Block Group 3, Census Tract 8, Richmond County, New York",2157,411
1500000US360850009001,360850009001,"Block Group 1, Census Tract 9, Richmond County, New York",679,135
1500000US360850009002,360850009002,"Block Group 2, Census Tract 9, Richmond County, New York",1045,259
1500000US360850011001,360850011001,"Block Group 1, Census Tract 11, Richmond County, New York",1205,358
1500000US360850011002,360850011002,"Block Group 2, Census Tract 11, Richmond County, New York",841,308
1500000US360850011003,360850011003,"Block Group 3, Census Tract 11, Richmond County, New York",1128,391
1500000US360850017001,360850017001,"Block Group 1, Census Tract 17, Richmond County, New York",692,222
1500000US360850017002,360850017002,"Block Group 2, Census Tract 17, Richmond County, New York",808,214
1500000US360850018000,360850018000,"Block Group 0, Census Tract 18, Richmond County, New York",0,11
1500000US360850018001,360850018001,"Block Group 1, Census Tract 18, Richmond County, New York",584,118
1500000US360850020011,360850020011,"Block Group 1, Census Tract 20.01, Richmond County, New York",1149,184
1500000US360850020012,360850020012,"Block Group 2, Census Tract 20.01, Richmond County, New York",1435,280
1500000US360850020021,360850020021,"Block Group 1, Census Tract 20.02, Richmond County, New York",2449,284
1500000US360850020022,360850020022,"Block Group 2, Census Tract 20.02, Richmond County, New York",946,263
1500000US360850021000,360850021000,"Block Group 0, Census Tract 21, Richmond County, New York",0,11
1500000US360850021001,360850021001,"Block Group 1, Census Tract 21, Richmond County, New York",1379,417
1500000US360850021002,360850021002,"Block Group 2, Census Tract 21, Richmond County, New York",977,357
1500000US360850021003,360850021003,"Block Group 3, Census Tract 21, Richmond County, New York",1929,469
1500000US360850027001,360850027001,"Block Group 1, Census Tract 27, Richmond County, New York",2186,258
1500000US360850029001,360850029001,"Block Group 1, Census Tract 29, Richmond County, New York",1193,472
1500000US360850029002,360850029002,"Block Group 2, Census Tract 29, Richmond County, New York",2398,464
1500000US360850029003,360850029003,"Block Group 3, Census Tract 29, Richmond County, New York",858,346
1500000US360850029004,360850029004,"Block Group 4, Census Tract 29, Richmond County, New York",788,325
1500000US360850033001,360850033001,"Block Group 1, Census Tract 33, Richmond County, New York",1360,314
1500000US360850033002,360850033002,"Block Group 2, Census Tract 33, Richmond County, New York",2348,411
1500000US360850036001,360850036001,"Block Group 1, Census Tract 36, Richmond County, New York",1531,332
1500000US360850036002,360850036002,"Block Group 2, Census Tract 36, Richmond County, New York",1058,257
1500000US360850039001,360850039001,"Block Group 1, Census Tract 39, Richmond County, New York",779,236
1500000US360850039002,360850039002,"Block Group 2, Census Tract 39, Richmond County, New York",1611,295
1500000US360850040001,360850040001,"Block Group 1, Census Tract 40, Richmond County, New York",1516,639
1500000US360850040002,360850040002,"Block Group 2, Census Tract 40, Richmond County, New York",3288,927
1500000US360850040003,360850040003,"Block Group 3, Census Tract 40, Richmond County, New York",2757,796
1500000US360850040004,360850040004,"Block Group 4, Census Tract 40, Richmond County, New York",1313,453
1500000US360850040005,360850040005,"Block Group 5, Census Tract 40, Richmond County, New York",948,423
1500000US360850040006,360850040006,"Block Group 6, Census Tract 40, Richmond County, New York",1084,614
1500000US360850040007,360850040007,"Block Group 7, Census Tract 40, Richmond County, New York",1443,673
1500000US360850047001,360850047001,"Block Group 1, Census Tract 47, Richmond County, New York",2529,408
1500000US360850047002,360850047002,"Block Group 2, Census Tract 47, Richmond County, New York",660,169
1500000US360850050001,360850050001,"Block Group 1, Census Tract 50, Richmond County, New York",1921,320
1500000US360850050002,360850050002,"Block Group 2, Census Tract 50, Richmond County, New York",1113,250
1500000US360850050003,360850050003,"Block Group 3, Census Tract 50, Richmond County, New York",829,282
1500000US360850059001,360850059001,"Block Group 1, Census Tract 59, Richmond County, New York",1481,218
1500000US360850059002,360850059002,"Block Group 2, Census Tract 59, Richmond County, New York",1530,274
1500000US360850064001,360850064001,"Block Group 1, Census Tract 64, Richmond County, New York",629,196
1500000US360850064002,360850064002,"Block Group 2, Census Tract 64, Richmond County, New York",906,244
1500000US360850064003,360850064003,"Block Group 3, Census Tract 64, Richmond County, New York",1846,307
1500000US360850067001,360850067001,"Block Group 1, Census Tract 67, Richmond County, New York",863,226
1500000US360850067002,360850067002,"Block Group 2, Census Tract 67, Richmond County, New York",982,255
1500000US360850067003,360850067003,"Block Group 3, Census Tract 67, Richmond County, New York",706,166
1500000US360850070000,360850070000,"Block Group 0, Census Tract 70, Richmond County, New York",0,11
1500000US360850070001,360850070001,"Block Group 1, Census Tract 70, Richmond County, New York",3843,963
1500000US360850070002,360850070002,"Block Group 2, Census Tract 70, Richmond County, New York",1347,431
1500000US360850070003,360850070003,"Block Group 3, Census Tract 70, Richmond County, New York",1666,614
1500000US360850070004,360850070004,"Block Group 4, Census Tract 70, Richmond County, New York",2086,565
1500000US360850074000,360850074000,"Block Group 0, Census Tract 74, Richmond County, New York",0,11
1500000US360850074001,360850074001,"Block Group 1, Census Tract 74, Richmond County, New York",1939,467
1500000US360850074002,360850074002,"Block Group 2, Census Tract 74, Richmond County, New York",2734,453
1500000US360850075001,360850075001,"Block Group 1, Census Tract 75, Richmond County, New York",1268,470
1500000US360850075002,360850075002,"Block Group 2, Census Tract 75, Richmond County, New York",1487,365
1500000US360850075003,360850075003,"Block Group 3, Census Tract 75, Richmond County, New York",1558,370
1500000US360850077001,360850077001,"Block Group 1, Census Tract 77, Richmond County, New York",1497,249
1500000US360850081000,360850081000,"Block Group 0, Census Tract 81, Richmond County, New York",0,11
1500000US360850081001,360850081001,"Block Group 1, Census Tract 81, Richmond County, New York",1791,432
1500000US360850081002,360850081002,"Block Group 2, Census Tract 81, Richmond County, New York",1252,230
1500000US360850081003,360850081003,"Block Group 3, Census Tract 81, Richmond County, New York",1330,418
1500000US360850096011,360850096011,"Block Group 1, Census Tract 96.01, Richmond County, New York",1572,292
