Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft_),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft_),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft_),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft_),Weather Normalized Site EUI (kBtu/ft_),Weather Normalized Site Electricity Intensity (kWh/ft_),Weather Normalized Site Natural Gas Intensity (therms/ft_),Weather Normalized Source EUI (kBtu/ft_),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft_),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft_),Source EUI (kBtu/ft_),Release Date,Water Required?,DOF Benchmarking Submission Status
N/A,2051345,Mount Sinai - St. Luke's,2051345,Mount Sinai - St. Luke's,1018660001; 1018670001; 1018670005,1-01866-0001; 1-01867-0001; 1-01867-0005,1056035;1084030;1084028;1084029;1084031;1084033;1084032; 1056036,1111 Amsterdam Avenue,Not Available,10025,Not Available,Not Available,Not Available,Not Available,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),1134614,Not Available,Not Available,Not Available,Not Available,1896,3,100,Whole Building,Whole Building,37,276,283.8,25.8,1.9,481.8,Not Available,6633107.4,Not Available,Not Available,Not Available,Not Available,204502190.7,2154397.6,101976023.5,29287807.9,20817.7,11354.3,9463.3,1134614,32503.6,28.65,477.4,4/27/17 7:27 AM,,
N/A,3616164,Penn South,3616164,Penn South,1007520001; 1007490001; 1007490024; 1007470001; 1007510001; 1007480001,1-00752-0001; 1-00749-0001; 1-00749-0024; 1-00747-0001; 1-00751-0001; 1-00748-0001,Not Available,321 Eighth Ave,Not Available,10001,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,3151841,Other,0,Not Available,Not Available,1960,14,100,Whole Building,Whole Building,88,89.3,Not Available,Not Available,Not Available,Not Available,Not Available,73383129.9,Not Available,Not Available,Not Available,Not Available,202302706.2,Not Available,5625553.8,Not Available,16713,16191,522,3151841,146180.5,46.38,96.5,4/3/17 11:26 AM,,
N/A,3616678,Spring Creek Towers (WEGO & HCR),3616678,Spring Creek Towers (WEGO & HCR),3044520135;3044520015;3044520125;3044520060;3044520325;3044350050;3044350001;3044520085;3044520001;3044520020;3044520200;3044350050;3044520105;3044520010; 3044520040,3044520135;3044520015;3044520125;3044520060;3044520325;3044350050;3044350001;3044520085;3044520001;3044520020;3044520200;3044350050;3044520105;3044520010; 3044520040,3397020;3343583;3343590;3343584;3343585;3343586;3343587;3343588;3343589;3343591;3343595;3343596;3343597;3343592;3336173;3336177;3336174;3336175;3336176;3342906;3342907;3342908;3342901;3342902;3342903;3342904;3342905;3843388;3391210;3340239;3340240;3340241;3340243;3340244;3391208;3340238;3340242;3396722;3396723;3391209;3397019;3343598;3343599;3343600;3343601;3343602;3343603;3343604;3343605;3343606;3343607;3343608;3345673;3391207;3823956;3098297;3098293;3098299;3098298;3098295;3098300;3098296;3856729;3098291,155 Elmira Loop,Not Available,11239,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,"Bank Branch, College/University, Fast Food Restaurant, Financial Office, K-12 School, Medical Office, Multifamily Housing, Office, Other, Other - Services, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store, Supermarket/Grocery Store",Multifamily Housing,7274115,Parking,871200,Other,141582,1971,57,100,Whole Building,Not Available,3,209.3,208.9,Not Available,2,218.9,Not Available,23322979.7,Not Available,46900980.8,Not Available,Not Available,1535320638,15165321.1,Not Available,Not Available,86813,86813,0,7672280,Not Available,Not Available,219.4,7/24/17 10:20 AM,,
N/A,3987327,MS The Center for Science and Medicine,3987327,MS The Center for Science and Medicine,1016070005;1016077503,"1016070005, 1016077503","1088796, 1051489",4 E 102nd St,Not Available,10029,Not Available,Not Available,Not Available,Not Available,Other - Specialty Hospital,"Multifamily Housing, Other - Specialty Hospital",Other - Specialty Hospital,466900,Multifamily Housing,458805,Not Available,Not Available,2012,2,100,Whole Building,Not Available,Not Available,317.8,317.6,26.3,2.2,520.5,Not Available,6889675.5,Not Available,Not Available,Not Available,Not Available,204376390.7,2042122.5,82938375.7,24307844.6,19063.3,11366.7,7696.7,925705,Not Available,Not Available,520.7,4/21/17 7:56 AM,,
N/A,4041227,E&&M Lafayette Morrison,4041227,E&&M Lafayette Morrison,2036270050;2036270040;2036270030;2036270020,2036270050:2036270040:2036270030:2036270020,2092724:2092723:2092725:2092726,820 Boynton Ave.,Not Available,10473,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1115400,Not Available,Not Available,Not Available,Not Available,1962,4,95,Whole Building,Whole Building,96,26.1,26.8,6.1,0.1,71.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5136913.3,67252.7,23942003.4,6805552.7,2494.7,272.8,2221.8,1115400,Not Available,Not Available,72.2,6/13/17 1:25 PM,,
N/A,4471596,BOULEVARD/LINDEN CAMPUS,4471596,BOULEVARD/LINDEN CAMPUS,3043550001;3043760001;3043770001;3043710001;3043750001;3043930001;3043970001;3043750050;3043760050,3043550001;3043760001;3043770001;3043710001;3043750001;3043930001;3043970001;3043750050;3043760050,3324162;3324274;3324275;3324276;3324277;3324278;3324279;3324280;3324285;3324286;3324287;3324288;3324289;3324290;3324292;3324293;3324294;3324295;3396477;3324015;3324016;3324017;3324018;3324019;3324020;3324021;3324022;3324281;3324282;3324283;3324284;3337061;3337062;3337065;3337066;3337067;3337068;3337069,785 SCHENCK AVENUE,Not Available,11207,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,3117306,Not Available,Not Available,Not Available,Not Available,1951,40,100,Whole Building,Not Available,22,114.6,120.3,6.7,1,174.4,Not Available,601956,Not Available,Not Available,Not Available,Not Available,283693110.7,3027053.2,72919595.6,21030123.4,21879.9,15113,6766.9,3117306,Not Available,Not Available,169.2,6/2/17 10:45 AM,,
N/A,2830965,BOULEVARD,4471596,BOULEVARD/LINDEN CAMPUS,3043550001;3043760001;3043770001;3043750050,3043550001;3043760001;3043770001;3043750050,3324162;3324274;3324275;3324276;3324277;3324278;3324279;3324280;3324285;3324286;3324287;3324288;3324289;3324290;3324292;3324293;3324294;3324295;3396477,785 SCHENCK AVENUE,Not Available,11207,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1476675,Not Available,Not Available,Not Available,Not Available,1951,1,100,Whole Building,Not Available,92,88.8,95.2,0,1,99.9,Not Available,26220,Not Available,Not Available,Not Available,Not Available,131097585.7,1405000.1,2456.6,720,6965.4,6965.2,0.2,1476675,Not Available,Not Available,93.2,6/2/17 10:45 AM,,
N/A,2831096,LINDEN,4471596,BOULEVARD/LINDEN CAMPUS,3043710001;3043750001;3043760001;3043930001;3043970001;3043750050;3043760050,3043710001;3043750001;3043760001;3043930001;3043970001;3043750050;3043760050,3324015;3324016;3324017;3324018;3324019;3324020;3324021;3324022;3324281;3324282;3324283;3324284;3337061;3337062;3337065;3337066;3337067;3337068;3337069;3396477,570 STANLEY AVENUE,Not Available,11207,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1640631,Not Available,Not Available,Not Available,Not Available,1958,1,100,Whole Building,Not Available,93,93.4,99.2,Not Available,1,104.2,Not Available,575736,Not Available,Not Available,Not Available,Not Available,152595525,1621845.9,Not Available,Not Available,8147.8,8147.8,0,1640631,Not Available,Not Available,98,6/2/17 10:55 AM,,
N/A,3128087,BOULEVARD/LINDEN,4471596,BOULEVARD/LINDEN CAMPUS,3043550001;3043760001;3043770001;3043710001;3043750001;3043930001;3043970001;3043750050;3043760050,3043550001;3043760001;3043770001;3043710001;3043750001;3043930001;3043970001;3043750050;3043760050,3324162;3324274;3324275;3324276;3324277;3324278;3324279;3324280;3324285;3324286;3324287;3324288;3324289;3324290;3324292;3324293;3324294;3324295;3396477;3324015;3324016;3324017;3324018;3324019;3324020;3324021;3324022;3324281;3324282;3324283;3324284;3337061;3337062;3337065;3337066;3337067;3337068;3337069,785 SCHENCK AVENUE,Not Available,11207,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,3117306,Not Available,Not Available,Not Available,Not Available,1951,1,100,Whole Building,Not Available,99,23.4,23,6.7,Not Available,72.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72917139,21029409,6766.7,0,6766.7,3117306,Not Available,Not Available,73.4,6/2/17 10:45 AM,,
N/A,4472723,ALBANY/ALBANY II CAMPUS,4472723,ALBANY/ALBANY II CAMPUS,3013520080;3013520001,3013520080;3013520001,3324612;3324613;3324614;3324615;3324616;3324617;3324609;3324610;3324611,180 TROY AVENUE,Not Available,11213,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1128400,Not Available,Not Available,Not Available,Not Available,1957,9,100,Whole Building,Whole Building,28,119.4,126.8,7.1,1,183.4,Not Available,0,Not Available,Not Available,Not Available,Not Available,107018418.1,1158467.3,27679592.9,7967210.1,8252.9,5684.3,2568.7,1128400,46895.4,41.56,176.6,6/2/17 10:45 AM,,
