service_id,date,holiday_name,exception_type
c_3219_b_none_d_32,20181225,Christmas Day,1
c_3219_b_none_d_32,20181122,Thanksgiving Day,1
c_3219_b_none_d_32,20180903,Labor Day,1
c_3219_b_none_d_32,20180704,Independence Day,1
c_3219_b_15826_d_64,20181028,10/28,2
c_3219_b_15826_d_64,20181021,10/21,2
c_3219_b_15826_d_64,20181014,10/14,2
c_3219_b_15826_d_64,20181007,10/7,2
c_3219_b_15826_d_64,20180930,9/30,2
c_3219_b_15826_d_64,20180923,9/23,2
c_3219_b_15826_d_64,20180916,9/16,2
c_3219_b_15826_d_64,20180909,9/9,2
c_3219_b_15826_d_64,20180826,8/26,2
c_3219_b_15826_d_64,20180819,8/19,2
c_3219_b_15826_d_64,20180812,8/12,2
c_3219_b_15826_d_64,20180805,8/5,2
c_3219_b_15826_d_64,20180729,7/29,2
c_3219_b_15826_d_64,20180722,7/22,2
c_3219_b_15826_d_64,20180715,7/15,2
c_3219_b_15826_d_64,20180708,7/8,2
c_3219_b_15826_d_32,20181027,10/27,2
c_3219_b_15826_d_32,20181020,10/20,2
c_3219_b_15826_d_32,20181013,10/13,2
c_3219_b_15826_d_32,20181006,10/6,2
c_3219_b_15826_d_32,20180929,9/29,2
c_3219_b_15826_d_32,20180922,9/22,2
c_3219_b_15826_d_32,20180915,9/15,2
c_3219_b_15826_d_32,20180908,9/8,2
c_3219_b_15826_d_32,20180825,8/25,2
c_3219_b_15826_d_32,20180818,8/18,2
c_3219_b_15826_d_32,20180811,8/11,2
c_3219_b_15826_d_32,20180804,8/4,2
c_3219_b_15826_d_32,20180728,7/28,2
c_3219_b_15826_d_32,20180721,7/21,2
c_3219_b_15826_d_32,20180714,7/14,2
c_3219_b_15826_d_32,20180707,7/7,2
c_3219_b_15826_d_31,20181225,Christmas Day,2
c_3219_b_15826_d_31,20181123,Day after Thanksgiving,2
c_3219_b_15826_d_31,20181122,Thanksgiving Day,2
c_3219_b_15826_d_31,20181029,10/29,2
c_3219_b_15826_d_31,20181022,10/22,2
c_3219_b_15826_d_31,20181015,10/15,2
c_3219_b_15826_d_31,20181008,10/8,2
c_3219_b_15826_d_31,20181001,10/1,2
c_3219_b_15826_d_31,20180924,9/24,2
c_3219_b_15826_d_31,20180917,9/17,2
c_3219_b_15826_d_31,20180910,9/10,2
c_3219_b_15826_d_31,20180903,Labor Day,2
c_3219_b_15826_d_31,20180827,8/27,2
