agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted
151,859,PATH,Hoboken - 33rd Street,,2,http://www.panynj.gov/path/pdf/path-map-schedule-english_dec25.pdf,4d92fb,000000,0,7,0
631,5744,,Blue Route,10 - B,3,,1c5fa9,ffffff,1,5,0
151,860,PATH,Hoboken - World Trade Center,,2,http://www.panynj.gov/path/pdf/path-map-schedule-english_dec25.pdf,65c100,000000,1,5,0
631,5746,,Purple Route,B - C/D,3,,792b79,ffffff,2,8,0
151,861,PATH,Journal Square - 33rd Street,,2,http://www.panynj.gov/path/pdf/path-map-schedule-english_dec25.pdf,ff9900,000000,2,4,0
151,1024,PATH,Journal Square - 33rd Street (via Hoboken),,2,http://www.panynj.gov/path/pdf/path-map-schedule-english_dec25.pdf,ff9900,000000,3,7,0
631,5745,,Red Route,10 - C/D,3,,cf302c,ffffff,3,6,0
151,4768,PATH,Journal Square - Hoboken,,2,,ff9900,000000,4,20,0
151,11048,PATH,Journal Square - World Trade Center (via Hoboken),,2,,ff9900,000000,5,15,0
151,862,PATH,Newark - World Trade Center,,2,http://www.panynj.gov/path/pdf/path-map-schedule-english_dec25.pdf,d93a30,ffffff,6,4,0
631,9508,,Green Route,,3,,61b635,000000,,5,0
