Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4375428117,3.96121715823,0.00140558181794,0.0,4.58992532963,8.1892,88.6279206269,78.3603986099,3.33988,6.92764201702
 01/01  02:00:00,14.6899182409,0.0,0.0,0.0,1.52997510988,7.4902,3.93193723554,0.0,3.33988,0.592057235536
 01/01  03:00:00,14.7104178803,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.7159459904,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8629774942,0.0,0.0,0.0,1.52997510988,7.4902,3.93194316252,0.0,3.33988,0.592063162524
 01/01  06:00:00,22.5771690967,3.96121715823,0.0,0.0,4.58992532963,8.1892,90.5955014821,82.2258014821,8.3497,0.02
 01/01  07:00:00,38.5407576775,3.96121715823,0.0134751229442,0.0,9.17985065927,19.4245,98.1079110502,76.794679448,16.6994,4.6138316022
 01/01  08:00:00,42.8314644462,3.96121715823,0.011366375822,0.0,9.17985065927,26.9147,94.0228489161,64.3607357477,25.0491,4.61301316839
 01/01  09:00:00,41.7737823723,3.96121715823,0.0,0.0,9.17985065927,26.9147,100.964228363,62.9533831834,33.3988,4.61204518
 01/01  10:00:00,34.2858379484,3.96121715823,0.0,0.0,9.17985065927,19.4245,98.3671937066,69.2787149285,25.0491,4.03937877816
 01/01  11:00:00,41.7889360528,3.96121715823,0.00534793003724,0.0,9.17985065927,26.9147,121.552948014,65.2973350569,41.7485,14.5071129575
 01/01  12:00:00,42.5532759115,3.96121715823,0.0,0.0,9.17985065927,26.9147,115.441337088,59.76312898,41.7485,13.9297081085
 01/01  13:00:00,41.855074748,3.96121715823,0.0,0.0,9.17985065927,26.9147,102.640988938,49.3126598673,41.7485,11.5798290705
 01/01  14:00:00,34.3423652068,3.96121715823,0.0,0.0,9.17985065927,19.4245,91.2551246592,46.2764419438,33.3988,11.5798827154
 01/01  15:00:00,34.3435132478,3.96121715823,0.0,0.0,9.17985065927,19.4245,82.869958322,49.1539074546,25.0491,8.66695086738
 01/01  16:00:00,34.3241653985,3.96121715823,0.0,0.0,9.17985065927,19.4245,96.5506821772,54.4846499669,33.3988,8.66723221032
 01/01  17:00:00,43.856236366,3.96121715823,0.00390815986385,0.0,9.17985065927,26.9147,118.189115445,59.4241617605,50.0982,8.66675368474
 01/01  18:00:00,45.9681257246,3.96121715823,0.0,0.0,9.17985065927,26.9147,124.311409316,62.6323318799,50.0982,11.5808774356
 01/01  19:00:00,45.9682592571,3.96121715823,0.0,0.0,9.17985065927,26.9147,123.837095692,59.8113954111,50.0982,13.9275002808
 01/01  20:00:00,38.6094643962,3.96121715823,0.0,0.0,9.17985065927,19.4245,107.284608523,59.3753795359,33.3988,14.5104289869
 01/01  21:00:00,38.5875295562,3.96121715823,0.0,0.0,9.17985065927,19.4245,104.660301889,59.6851161791,33.3988,11.5763857103
 01/01  22:00:00,38.5085225558,3.96121715823,0.0,0.0,9.17985065927,19.4245,108.580823052,69.6060645525,25.0491,13.9256584999
 01/01  23:00:00,38.3946009288,3.96121715823,0.0,0.0,9.17985065927,19.4245,104.064469256,75.7855091993,16.6994,11.5795600563
 01/01  24:00:00,39.2041207953,3.96121715823,0.0,0.0,9.17985065927,19.4245,92.5906559734,78.4708516153,8.3497,5.77010435802
 01/02  01:00:00,22.444190838,3.96121715823,0.0,0.0,4.58992532963,8.1892,100.877412101,91.7692453696,3.33988,5.76828673095
 01/02  02:00:00,14.6393706493,0.0,0.0,0.0,1.52997510988,7.4902,3.93194029577,0.0,3.33988,0.592060295768
 01/02  03:00:00,14.6595685017,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6716912823,0.0,0.0,0.0,1.52997510988,7.4902,3.93194621788,0.0,3.33988,0.592066217885
 01/02  05:00:00,14.821618787,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.5520658491,3.96121715823,0.00263624836072,0.0,4.58992532963,8.1892,117.117787856,108.748087856,8.3497,0.02
 01/02  07:00:00,38.515153784,3.96121715823,0.0109614326901,0.0,9.17985065927,19.4245,125.392717703,104.07900241,16.6994,4.61431529265
 01/02  08:00:00,42.8067642595,3.96121715823,0.0126325612366,0.0,9.17985065927,26.9147,137.655858581,95.1547858871,25.0491,17.4519726935
 01/02  09:00:00,41.7536014795,3.96121715823,0.0,0.0,9.17985065927,26.9147,141.482470054,92.9764388866,33.3988,15.1072311673
 01/02  10:00:00,34.2686132687,3.96121715823,0.0,0.0,9.17985065927,19.4245,128.24268161,89.8607878068,25.0491,13.332793803
 01/02  11:00:00,41.761704792,3.96121715823,0.00172467081943,0.0,9.17985065927,26.9147,138.899692802,85.5741419933,41.7485,11.5770508088
 01/02  12:00:00,42.5339144873,3.96121715823,0.0,0.0,9.17985065927,26.9147,128.456685838,73.9543969634,41.7485,12.7537888743
