Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,760.432984214,96.4632693683,314.125202748,0.0,34.9616554283,113.312780494,676.399377656,662.002084486,5.66466996096,8.73262320956
 01/01  02:00:00,805.259798059,96.4632693683,369.959676716,0.0,34.9616554283,113.312780494,679.696820867,656.588144301,5.66466996096,17.444006605
 01/01  03:00:00,813.381236066,96.4632693683,373.724750291,0.0,34.9616554283,113.312780494,685.733495857,662.626597345,5.66466996096,17.4422285514
 01/01  04:00:00,793.71323261,96.4632693683,352.58993224,0.0,34.9616554283,113.312780494,691.557033563,668.448670558,5.66466996096,17.4436930439
 01/01  05:00:00,783.621633828,96.4632693683,336.999036823,0.0,44.4937663224,113.312780494,685.246661878,662.137035373,5.66466996096,17.4449565444
 01/01  06:00:00,775.804006347,96.4632693683,327.166983955,0.0,44.4937663224,113.312780494,700.953330634,669.348624921,14.1616749024,17.4430308104
 01/01  07:00:00,849.998695215,96.4632693683,326.643854274,0.0,54.0258772165,176.889270242,644.069914379,598.305395734,28.3233498048,17.4411688402
 01/01  08:00:00,856.836994489,96.4632693683,332.820368018,0.0,54.0258772165,184.38654557,637.775937681,586.557746309,42.4850247072,8.7331666652
 01/01  09:00:00,938.265235062,96.4632693683,334.882832227,0.0,65.1572554096,220.04316451,637.94111694,555.006439551,56.6466996096,26.2879777796
 01/01  10:00:00,932.716194454,96.4632693683,335.811957026,0.0,65.1572554096,212.545889182,601.694619266,532.788084739,42.4850247072,26.4215098196
 01/01  11:00:00,951.13381678,96.4632693683,346.129990838,0.0,65.1572554096,220.04316451,618.27087755,512.067886283,70.808374512,35.3946167546
 01/01  12:00:00,977.891458149,96.4632693683,370.651801105,0.0,65.1572554096,220.04316451,599.622441855,502.250574221,70.808374512,26.5634931211
 01/01  13:00:00,1029.57589185,96.4632693683,421.81175821,0.0,65.1572554096,220.04316451,596.046594159,489.836365056,70.808374512,35.4018545909
 01/01  14:00:00,1079.42629316,96.4632693683,481.559941816,0.0,65.1572554096,212.545889182,564.278870113,481.081933697,56.6466996096,26.5502368064
 01/01  15:00:00,1102.85634819,96.4632693683,503.326500111,0.0,65.1572554096,212.545889182,540.005912208,462.111085479,42.4850247072,35.4098020222
 01/01  16:00:00,1089.8409372,96.4632693683,486.364753187,0.0,65.1572554096,212.545889182,550.974301327,458.928179593,56.6466996096,35.3994221239
 01/01  17:00:00,1013.43551527,96.4632693683,424.812983504,0.0,65.1572554096,220.04316451,596.960385687,485.43546928,84.9700494144,26.5548669927
 01/01  18:00:00,913.722449291,96.4632693683,367.105187694,0.0,54.0258772165,184.38654557,635.64618913,524.255089109,84.9700494144,26.4210506074
 01/01  19:00:00,862.019808735,96.4632693683,343.113864139,0.0,44.4937663224,163.454314868,670.47526122,568.060192429,84.9700494144,17.4450193764
 01/01  20:00:00,848.33027581,96.4632693683,337.558830239,0.0,44.4937663224,155.95703954,650.752963801,576.663161462,56.6466996096,17.4431027295
 01/01  21:00:00,812.261167339,96.4632693683,329.498582511,0.0,44.4937663224,124.558693486,695.094828419,621.006885848,56.6466996096,17.4412429611
 01/01  22:00:00,803.749853237,96.4632693683,314.732712543,0.0,44.4937663224,124.558693486,698.701464707,638.770551333,42.4850247072,17.4458886666
 01/01  23:00:00,781.991150503,96.4632693683,297.350695496,0.0,34.9616554283,124.558693486,715.198078879,669.430843134,28.3233498048,17.4438859401
 01/01  24:00:00,765.595311691,96.4632693683,280.36433664,0.0,34.9616554283,124.558693486,720.259398047,688.655718857,14.1616749024,17.4420042877
 01/02  01:00:00,736.703443446,96.4632693683,252.134932766,0.0,46.0930336215,113.312780494,748.866169667,734.47106704,5.66466996096,8.73043266589
 01/02  02:00:00,712.937274541,96.4632693683,229.947106204,0.0,46.0930336215,113.312780494,794.562950812,771.452131317,5.66466996096,17.4461495339
 01/02  03:00:00,699.008182681,96.4632693683,216.84735235,0.0,46.0930336215,113.312780494,816.847296944,793.738382726,5.66466996096,17.4442442575
 01/02  04:00:00,688.285971264,96.4632693683,205.459702273,0.0,46.0930336215,113.312780494,837.937355454,814.830268649,5.66466996096,17.4424168439
 01/02  05:00:00,765.020197637,96.4632693683,194.302015529,0.0,100.150657288,148.969399434,818.748450778,795.638120038,5.66466996096,17.445660779
 01/02  06:00:00,781.069184567,96.4632693683,207.30393242,0.0,100.150657288,149.894399434,1346.56691684,1314.96001778,14.1616749024,17.4452241574
 01/02  07:00:00,985.008005197,96.4632693683,185.246997142,0.0,176.471037341,302.612436532,943.89058879,898.123907791,28.3233498048,17.4433311943
 01/02  08:00:00,1089.06711747,96.4632693683,178.513744851,0.0,243.2593065,310.10971186,880.98136501,812.053314624,42.4850247072,26.4430256779
 01/02  09:00:00,1124.01114785,96.4632693683,176.760350707,0.0,243.2593065,310.10971186,848.650462313,756.558191652,56.6466996096,35.4455710519
 01/02  10:00:00,1167.58647998,96.4632693683,187.052194696,0.0,243.2593065,302.612436532,770.238699238,692.148802315,42.4850247072,35.6048722154
 01/02  11:00:00,1199.86929134,96.4632693683,212.932235405,0.0,243.2593065,310.10971186,732.281801936,616.651609777,70.808374512,44.821817647
 01/02  12:00:00,1228.26334199,96.5062964316,241.940198721,0.0,243.2593065,310.10971186,686.43553243,570.707821103,70.808374512,44.9193368145
 01/02  13:00:00,1208.01321213,96.5880075648,263.454636608,0.0,243.2593065,310.10971186,658.601486708,543.151789667,70.808374512,44.6413225293
 01/02  14:00:00,1260.83624943,96.7149845603,283.730685343,0.0,243.2593065,302.612436532,621.074494114,519.511228751,56.6466996096,44.9165657531
 01/02  15:00:00,1282.15224625,96.8238563418,304.978317494,0.0,243.2593065,302.612436532,578.741200591,491.435169269,42.4850247072,44.8210066139
 01/02  16:00:00,1296.59348853,96.8493806554,320.664404448,0.0,243.2593065,302.612436532,595.766437227,494.401937019,56.6466996096,44.7178005988
