Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,148.171630913,30.8976316354,24.258565698,0.0,34.4311606118,33.1021868926,196.200008592,54.3892673251,3.33212,138.478621267
 01/01  02:00:00,148.563744305,30.8976316354,24.5884492827,0.0,34.4311606118,33.1021868926,148.445493903,42.728031291,3.33212,102.385342612
 01/01  03:00:00,130.687926558,30.8976316354,24.1904743121,0.0,19.466279405,30.610668775,146.38294242,35.7590237079,3.33212,107.291798712
 01/01  04:00:00,130.669080516,30.8976316354,24.1866235968,0.0,19.466279405,30.610668775,143.25260424,31.9033379533,3.33212,108.017146286
 01/01  05:00:00,139.222180816,30.8976316354,26.1695382355,0.0,19.466279405,30.610668775,171.497871653,29.8968936141,3.33212,138.268858038
 01/01  06:00:00,153.872623383,30.8976316354,28.5776521604,0.0,19.466279405,30.610668775,208.710198527,29.0531502648,8.3303,171.326748262
 01/01  07:00:00,256.475696372,32.0953935072,57.7209343193,0.0,42.6918050922,54.3732441037,293.043739512,28.5490087178,16.6606,247.834130794
 01/01  08:00:00,320.7084781,35.6886791226,75.0364028087,0.0,49.3960418185,88.5934452969,612.779972731,174.32635545,24.9909,413.462717281
 01/01  09:00:00,357.957007877,35.6886791226,86.1042033263,0.0,57.6566862989,112.030105488,827.130402246,203.995516169,33.3212,589.813686077
 01/01  10:00:00,315.183659291,35.912377886,99.1554550247,0.0,50.9524495726,81.1684271793,682.497518708,196.500186436,66.8089,419.188432271
 01/01  11:00:00,268.606049365,36.02666903,97.392273856,0.0,42.6918050922,68.9656133826,603.029351368,198.571091035,83.4695,320.988760333
 01/01  12:00:00,263.745667711,36.1066715363,96.0840791943,0.0,38.286128036,68.9656133826,540.84850281,201.729252195,83.4695,255.649750615
 01/01  13:00:00,269.120633475,36.2489725625,101.975889603,0.0,38.286128036,68.9656133826,465.474694523,194.770900798,83.4695,187.234293725
 01/01  14:00:00,249.553044096,36.3850899951,101.072294113,0.0,31.5818913096,56.727595265,451.944941024,189.563892305,75.1392,187.241848719
 01/01  15:00:00,247.054205744,36.4363147285,98.4999137191,0.0,31.5818913096,56.727595265,436.108771119,189.593004816,66.8089,179.706866302
 01/01  16:00:00,236.550752119,36.3812324752,88.1890188824,0.0,31.5818913096,56.727595265,451.477205704,195.155942353,75.1392,181.18206335
 01/01  17:00:00,250.380974462,36.0068850477,65.0521031236,0.0,31.5818913096,61.661095265,441.178684314,205.533334146,91.7998,143.845550167
 01/01  18:00:00,271.18307285,35.6886791226,50.3487208465,0.0,31.5818913096,70.9729253606,453.042041156,224.315693112,49.9818,178.744548044
 01/01  19:00:00,341.128050118,35.6886791226,58.6183961783,0.0,80.3315023541,83.7685254822,496.57861426,232.592642524,49.9818,214.004171736
 01/01  20:00:00,356.426410281,35.6886791226,69.9988714521,0.0,102.000620287,77.6748002752,538.564220912,224.254176062,33.3212,280.98884485
 01/01  21:00:00,383.872298463,35.6886791226,76.9685015877,0.0,108.704857014,91.4735406516,526.648222478,220.326786105,33.3212,273.000236373
 01/01  22:00:00,355.317796583,35.6886791226,76.6607091222,0.0,95.2963835608,89.1510273009,529.575166617,224.182367585,24.9909,280.401899032
 01/01  23:00:00,297.266002284,35.6886791226,71.8644057429,0.0,80.3315023541,63.3799339444,663.908360885,237.477347487,16.6606,409.770413399
 01/01  24:00:00,214.946939802,35.6886791226,53.976567682,0.0,42.6918050922,48.4199368926,508.269539354,256.144415145,8.3303,243.794824208
 01/02  01:00:00,134.695342936,30.8976316354,22.2384833471,0.0,25.5240853573,30.610668775,196.977082915,55.3409516021,3.33212,138.304011313
 01/02  02:00:00,125.141485973,30.8976316354,20.0148074137,0.0,19.418418834,29.3649097162,150.983336086,46.1110907455,3.33212,101.540125341
 01/02  03:00:00,116.181552126,30.8976316354,18.962552938,0.0,12.7620426787,28.1191506574,152.566607835,41.350450196,3.33212,107.884037639
 01/02  04:00:00,115.294111774,30.8976316354,18.0872429014,0.0,12.7620426787,28.1191506574,144.495815057,39.6250289791,3.33212,101.538666078
 01/02  05:00:00,123.137164301,30.8976316354,19.3551226127,0.0,12.7620426787,28.1191506574,181.075068714,39.4461673736,3.33212,138.29678134
 01/02  06:00:00,157.540340058,30.8976316354,26.1416678521,0.0,25.5240853573,30.610668775,292.667836854,39.9891796594,8.3303,244.348357195
 01/02  07:00:00,279.927718406,30.8976316354,50.7349592023,0.0,51.0481707146,78.1489452969,469.71925042,39.1335706306,16.6606,413.925079789
 01/02  08:00:00,361.129649562,35.7003823435,79.4573477152,0.0,64.3609230253,109.708623606,824.206711001,249.997281131,24.9909,549.21852987
 01/02  09:00:00,300.277081404,35.6886791226,66.8735546042,0.0,51.0481707146,80.7689615957,757.441359263,304.295752595,33.3212,419.824406669
 01/02  10:00:00,278.633649971,35.692258646,73.4423164178,0.0,51.0481707146,71.0224615957,676.21359885,288.930047381,66.8089,320.47465147
 01/02  11:00:00,235.550420558,35.7569635589,79.0430388441,0.0,32.1804615127,65.7244621605,615.969864836,277.398856662,83.4695,255.101508173
 01/02  12:00:00,264.397363013,35.8289750958,107.036418662,0.0,32.1804615127,65.7244621605,536.638453929,265.53139383,83.4695,187.637560099
 01/02  13:00:00,275.418645168,35.8770858962,118.680512319,0.0,32.1804615127,65.7244621605,528.558342783,257.778896567,83.4695,187.309946216
