Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,112.292921926,23.3629070228,13.5446002137,10.0122372934,4.12243109448,15.9888894789,98.9645690313,95.9728386135,2.97173041782,0.02
 01/02  02:00:00,104.612875031,19.5424575587,10.4738431459,10.4902848729,4.12243109448,15.9888894789,85.4342457839,82.4425153661,2.97173041782,0.02
 01/02  03:00:00,123.930652862,24.4280719483,12.57237887,15.2499848468,4.12243109448,15.9888894789,107.758042705,104.766312288,2.97173041782,0.02
 01/02  04:00:00,106.792003868,19.5424575587,9.46983114913,13.4145384558,4.12243109448,15.9888894789,87.7040941778,84.71236376,2.97173041782,0.02
 01/02  05:00:00,152.64654727,28.8734760998,12.202043979,15.463007524,12.3672932834,24.9413748627,124.356723227,119.383839197,4.9528840297,0.02
 01/02  06:00:00,182.112449083,28.4425404229,15.1984560363,42.5933395987,12.3672932834,24.9413748627,193.774353589,188.80146956,4.9528840297,0.02
 01/02  07:00:00,234.071430147,29.3754425053,8.67799004631,43.3676214858,24.7345865669,70.7195625826,189.60484152,179.679073461,9.90576805939,0.02
 01/02  08:00:00,244.130412542,29.4338479264,8.67878876663,31.6023253349,37.1018798503,92.3937384068,171.344507759,161.4187397,9.90576805939,0.02
 01/02  09:00:00,242.670035129,29.4560910313,8.68481875409,24.9287499947,37.1018798503,104.434947198,161.919838563,151.994070503,9.90576805939,0.02
 01/02  10:00:00,249.247163992,29.5202712137,9.4245705771,19.4369647909,37.1018798503,116.476155989,159.581710282,141.045256324,9.90576805939,8.63068589883
 01/02  11:00:00,246.401145139,29.6174708143,10.94395978,16.5293135468,37.1018798503,116.476155989,137.965974777,128.040206718,9.90576805939,0.02
 01/02  12:00:00,244.239625058,29.7847955137,12.0280463989,14.3726154775,37.1018798503,116.476155989,134.295811289,115.752407527,9.90576805939,8.63763570315
 01/02  13:00:00,231.830295105,29.9535755449,12.6032418553,12.6177144973,37.1018798503,104.434947198,117.025413545,107.099645486,9.90576805939,0.02
 01/02  14:00:00,240.574729539,30.0352808493,13.1937398958,11.1033066911,37.1018798503,116.476155989,120.405825961,101.862287835,9.90576805939,8.6377700672
