Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,60.2710603898,1.54519677147,3.36601565508,0.0,15.863942322,29.242365,11.3532759354,8.12759593539,3.20568,0.02
 01/01  02:00:00,59.8882962564,1.42633548136,3.09038297708,0.0,15.863942322,29.242365,10.3794153169,7.15373531688,3.20568,0.02
 01/01  03:00:00,60.9685344568,1.7829193517,3.81534624003,0.0,15.863942322,29.242365,15.8550854726,9.76647185969,3.20568,2.88293361288
 01/01  04:00:00,59.7914283722,1.42633548136,3.00277031051,0.0,15.863942322,29.242365,11.4957570669,8.27007706689,3.20568,0.02
 01/01  05:00:00,61.0741831514,1.7829193517,3.71475505778,0.0,15.863942322,29.242365,17.1686328316,11.080011342,3.20568,2.88294148961
 01/01  06:00:00,60.741297685,2.25245612376,2.9313700228,0.0,15.863942322,29.242365,23.1012209865,19.8755409865,3.20568,0.02
 01/01  07:00:00,61.4024033161,2.1959796729,3.63068071226,0.0,15.863942322,29.242365,21.0531325021,17.8274525021,3.20568,0.02
 01/01  08:00:00,54.1547942595,1.42633548136,2.93662113362,0.0,15.863942322,29.242365,12.9411401826,6.8525109893,3.20568,2.88294919329
 01/01  09:00:00,50.2505979359,1.06975161102,2.24566393891,0.0,15.863942322,29.242365,7.74155010825,4.51587010825,3.20568,0.02
 01/01  10:00:00,49.863741827,0.891459675849,2.01774892157,0.0,15.863942322,29.242365,8.12043460916,2.03016825589,3.20568,2.88458635327
 01/01  11:00:00,46.947929455,0.0,0.0,0.0,15.863942322,29.242365,6.09014354172,0.0,3.20568,2.88446354172
 01/01  12:00:00,47.6665242893,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,46.9449881626,0.0,0.0,0.0,15.863942322,29.242365,6.09026611918,0.0,3.20568,2.88458611918
 01/01  14:00:00,46.9944414295,0.0,0.0,0.0,15.863942322,29.242365,6.09014450711,0.0,3.20568,2.88446450711
 01/01  15:00:00,47.0108322074,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,46.9934510847,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,51.1693650416,0.0,0.0,0.0,15.863942322,29.242365,6.08855155098,0.0,3.20568,2.88287155098
 01/01  18:00:00,55.4450925885,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  19:00:00,55.4401584265,0.0,0.0,0.0,15.863942322,29.242365,6.08863964833,0.0,3.20568,2.88295964833
