Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5328711981,2.17605060216,0.0,0.0,1.85583932782,5.577,43.2978362222,37.9847811892,3.0011,2.31195503308
 01/01  02:00:00,9.5216018774,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.54452112225,0.0,0.0,0.0,0.618613109274,5.0,3.59315123719,0.0,3.0011,0.592051237186
 01/01  04:00:00,9.55115336103,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.69877275108,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.6939731118,2.17605060216,0.0,0.0,1.85583932782,5.577,45.8457195146,40.7519735663,4.50165,0.592095948243
 01/01  07:00:00,28.166023448,2.17605060216,0.0,0.0,3.71167865564,18.077,49.259083992,34.0165357365,13.50495,1.73759825545
 01/01  08:00:00,26.2249598575,2.17605060216,0.0,0.0,3.71167865564,18.077,52.3291801446,30.1563764486,21.0077,1.16510369596
 01/01  09:00:00,20.5890839725,2.17605060216,0.0,0.0,3.71167865564,13.077,48.0480928544,31.3044143619,15.0055,1.73817849248
 01/01  10:00:00,20.5970023697,2.17605060216,0.0,0.0,3.71167865564,13.077,46.7891618419,30.6181207565,15.0055,1.16554108546
 01/01  11:00:00,25.5968844446,2.17605060216,0.0,0.0,3.71167865564,18.077,63.9261270404,26.2999418276,33.0121,4.61408521276
 01/01  12:00:00,26.7522298885,2.17605060216,0.0,0.0,3.71167865564,18.077,67.434056281,22.3054097832,40.51485,4.6137964978
 01/01  13:00:00,25.8403518433,2.17605060216,0.0,0.0,3.71167865564,18.077,57.1583876443,17.6829672669,36.0132,3.46222037734
 01/01  14:00:00,25.6506027477,2.17605060216,0.0,0.0,3.71167865564,18.077,51.3167877568,15.7687498305,31.51155,4.03648792634
 01/01  15:00:00,20.6511216033,2.17605060216,0.0,0.0,3.71167865564,13.077,40.3896482346,17.0688936495,21.0077,2.31305458509
 01/01  16:00:00,20.6281820744,2.17605060216,0.0,0.0,3.71167865564,13.077,42.1287128255,19.734549487,19.50715,2.8870133385
 01/01  17:00:00,21.7966566061,2.17605060216,0.0,0.0,3.71167865564,13.077,49.5642706757,24.1691799013,22.50825,2.88684077439
 01/01  18:00:00,28.054470657,2.17605060216,0.0,0.0,3.71167865564,18.077,54.6845892561,25.7122993372,25.50935,3.46293991893
 01/01  19:00:00,28.0553515357,2.17605060216,0.0,0.0,3.71167865564,18.077,55.0039749148,24.8801653619,25.50935,4.61445955291
 01/01  20:00:00,28.1975535355,2.17605060216,0.0,0.0,3.71167865564,18.077,55.1375015829,25.0145578432,25.50935,4.61359373963
 01/01  21:00:00,23.1786153987,2.17605060216,0.0,0.0,3.71167865564,13.077,53.1540624969,27.1839716314,22.50825,3.46184086545
 01/01  22:00:00,23.1038038494,2.17605060216,0.0,0.0,3.71167865564,13.077,54.8617443203,29.2401927938,21.0077,4.61385152646
 01/01  23:00:00,22.9946207197,2.17605060216,0.0,0.0,3.71167865564,13.077,53.7959054378,32.3272727978,18.0066,3.46203263996
 01/01  24:00:00,24.1950065577,2.17605060216,0.0,0.0,3.71167865564,13.077,41.5517345104,36.2393399071,3.0011,2.31129460336
 01/02  01:00:00,13.716965062,2.17605060216,0.0,0.0,1.85583932782,5.577,50.4790106416,45.7394035096,3.0011,1.73850713202
 01/02  02:00:00,9.47298598486,0.0,0.0,0.0,0.618613109274,5.0,3.59316917516,0.0,3.0011,0.592069175155
 01/02  03:00:00,9.49672117877,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.51029830273,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.66084891346,0.0,0.0,0.0,0.618613109274,5.0,3.59317508315,0.0,3.0011,0.592075083149
 01/02  06:00:00,13.6707976656,2.17605060216,0.0,0.0,1.85583932782,5.577,61.2003054227,56.6786554227,4.50165,0.02
 01/02  07:00:00,28.1439095588,2.17605060216,0.0,0.0,3.71167865564,18.077,65.4046527565,50.161727201,13.50495,1.73797555551
 01/02  08:00:00,26.1978333952,2.17605060216,0.0,0.0,3.71167865564,18.077,71.8962675452,45.6969095228,21.0077,5.19165802237
 01/02  09:00:00,20.5660454783,2.17605060216,0.0,0.0,3.71167865564,13.077,66.2780553926,46.0822198649,15.0055,5.19033552768
 01/02  10:00:00,20.5763287417,2.17605060216,0.0,0.0,3.71167865564,13.077,63.5387939333,44.494967933,15.0055,4.03832600029
 01/02  11:00:00,25.5720886273,2.17605060216,0.0,0.0,3.71167865564,18.077,74.5083016418,38.0331963819,33.0121,3.46300525996
 01/02  12:00:00,26.7325520677,2.17605060216,0.0,0.0,3.71167865564,18.077,76.9447069471,32.3916550037,40.51485,4.03820194342
 01/02  13:00:00,25.798096621,2.17605060216,0.0,0.0,3.71167865564,18.077,68.0962396633,28.6208410359,36.0132,3.46219862739
 01/02  14:00:00,25.5963957178,2.17605060216,0.0,0.0,3.71167865564,18.077,62.6648000907,27.6920267217,31.51155,3.46122336902
 01/02  15:00:00,20.5960469512,2.17605060216,0.0,0.0,3.71167865564,13.077,53.4776806249,29.5831712265,21.0077,2.8868093984
 01/02  16:00:00,20.5813913228,2.17605060216,0.0,0.0,3.71167865564,13.077,54.261605202,31.8677051673,19.50715,2.8867500347
 01/02  17:00:00,21.766755557,2.17605060216,0.0,0.0,3.71167865564,13.077,58.6098481633,33.2146724094,22.50825,2.88692575389
 01/02  18:00:00,28.0386963469,2.17605060216,0.0,0.0,3.71167865564,18.077,59.5252496188,30.5534987657,25.50935,3.46240085313
 01/02  19:00:00,28.04368192,2.17605060216,0.0,0.0,3.71167865564,18.077,59.7315204476,29.6066743242,25.50935,4.61549612336
 01/02  20:00:00,28.1877366923,2.17605060216,0.0,0.0,3.71167865564,18.077,60.5327289734,29.2563850389,25.50935,5.76699393441
 01/02  21:00:00,23.1742601271,2.17605060216,0.0,0.0,3.71167865564,13.077,57.2925076908,30.7456555841,22.50825,4.03860210672
 01/02  22:00:00,23.1089794311,2.17605060216,0.0,0.0,3.71167865564,13.077,56.7560775258,30.5592331224,21.0077,5.18914440333
 01/02  23:00:00,23.0052603661,2.17605060216,0.0,0.0,3.71167865564,13.077,53.6563676999,31.6118661324,18.0066,4.03790156751
 01/02  24:00:00,24.20471318,2.17605060216,0.0,0.0,3.71167865564,13.077,39.4638821099,34.1507056897,3.0011,2.31207642017
 01/03  01:00:00,13.7257166761,2.17605060216,0.0,0.0,1.85583932782,5.577,45.2026667273,40.4633038462,3.0011,1.73826288104
 01/03  02:00:00,9.49682365548,0.0,0.0,0.0,0.618613109274,5.0,3.59319546402,0.0,3.0011,0.59209546402
 01/03  03:00:00,9.53047207105,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.54545029394,0.0,0.0,0.0,0.618613109274,5.0,3.59314964769,0.0,3.0011,0.592049647689
 01/03  05:00:00,10.2166966144,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  06:00:00,14.217572445,2.17605060216,0.0,0.0,1.85583932782,5.577,42.446060473,37.352354888,4.50165,0.592055584995
 01/03  07:00:00,28.4125851548,2.17605060216,0.0,0.0,3.71167865564,18.077,44.3436044797,29.6733243245,13.50495,1.16533015528
 01/03  08:00:00,26.2585983396,2.17605060216,0.0,0.0,3.71167865564,18.077,49.2845965856,22.5101487091,21.0077,5.7667478765
