Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,201.985313006,9.49949044366,73.8594731099,0.0,43.513341876,52.539744,78.8616995915,74.0074395915,4.83426,0.02
 01/01  02:00:00,194.329839535,12.0112237143,63.8467750708,0.0,43.513341876,52.539744,63.1803583419,58.3260983419,4.83426,0.02
 01/01  03:00:00,211.705131215,12.8433570588,80.1226541431,0.0,43.513341876,52.539744,84.7658544074,79.9115944074,4.83426,0.02
 01/01  04:00:00,193.17297019,10.7590085095,63.9654090523,0.0,43.513341876,52.539744,66.1920315632,61.3377715632,4.83426,0.02
 01/01  05:00:00,214.772587265,16.3416104807,79.2900604063,0.0,43.513341876,52.539744,91.4969896747,86.6427296747,4.83426,0.02
 01/01  06:00:00,190.195125467,8.28770453881,63.0765467787,0.0,43.513341876,52.539744,78.7394379387,65.2938792845,4.83426,8.61129865415
 01/01  07:00:00,214.91415424,17.5689808563,78.2139255822,0.0,43.513341876,52.539744,96.3637950312,91.5095350312,4.83426,0.02
 01/01  08:00:00,178.990745942,9.10595145589,63.1046269846,0.0,43.513341876,52.539744,62.8374295996,57.9831695996,4.83426,0.02
 01/01  09:00:00,185.677876085,5.24558744182,79.3500888791,0.0,43.513341876,52.539744,72.6175601653,67.7633001653,4.83426,0.02
 01/01  10:00:00,170.733388591,4.19646995345,65.6681760873,0.0,43.513341876,52.539744,50.5085082071,37.0539215401,4.83426,8.62032666693
 01/01  11:00:00,196.927258867,5.24558744182,90.4479767586,0.0,43.513341876,52.539744,43.8559804863,39.0017204863,4.83426,0.02
 01/01  12:00:00,184.513684848,4.19646995345,78.3649705117,0.0,43.513341876,52.539744,30.0001416709,25.1458816709,4.83426,0.02
 01/01  13:00:00,214.281931251,5.24558744182,107.61521206,0.0,43.513341876,52.539744,39.5006099251,26.0460154166,4.83426,8.62033450849
 01/01  14:00:00,193.765587341,4.01726061045,88.5609605646,0.0,43.513341876,52.539744,20.1050320978,15.2507720978,4.83426,0.02
 01/01  15:00:00,125.534471305,1.25446540105,24.0205045769,0.0,43.513341876,52.539744,7.98060847105,3.12634847105,4.83426,0.02
 01/01  16:00:00,127.418099406,1.43367474406,25.7136187659,0.0,43.513341876,52.539744,7.65765559907,2.80339559907,4.83426,0.02
 01/01  17:00:00,132.871122766,1.43367474406,22.4596193303,0.0,43.513341876,52.539744,9.25720109037,4.40294109037,4.83426,0.02
 01/01  18:00:00,188.710250779,3.7823420154,66.2602022302,0.0,43.513341876,52.539744,29.4707203628,16.0236498635,4.83426,8.61281049925
 01/01  19:00:00,211.009771073,5.00615853434,87.0734654481,0.0,43.513341876,52.539744,29.1125885131,24.2583285131,4.83426,0.02
 01/01  20:00:00,200.305919596,4.43589886093,76.7081336546,0.0,43.513341876,52.539744,32.3118265214,27.4575665214,4.83426,0.02
 01/01  21:00:00,208.390071256,5.00615853434,84.1378828407,0.0,43.513341876,52.539744,40.8500964571,35.9958364571,4.83426,0.02
 01/01  22:00:00,194.998214211,4.43589886093,71.7264983862,0.0,43.513341876,52.539744,57.1750734294,52.3208134294,4.83426,0.02
 01/01  23:00:00,211.243856708,15.0252100055,77.5872422885,0.0,43.513341876,52.539744,75.3419271831,61.8948566755,4.83426,8.61281050754
 01/01  24:00:00,200.882443535,14.2946135925,67.1100567015,0.0,43.513341876,52.539744,76.4388311194,71.5845711194,4.83426,0.02
 01/02  01:00:00,205.266500164,13.2151288562,73.4329799136,0.0,43.513341876,52.539744,90.009480165,85.155220165,4.83426,0.02
 01/02  02:00:00,198.535625187,16.5857049603,63.4594009886,0.0,43.513341876,52.539744,108.895335456,104.041075456,4.83426,0.02
 01/02  03:00:00,213.594845967,24.9640927225,70.0079967028,0.0,43.513341876,52.539744,127.812702839,114.358050543,4.83426,8.62039229574
 01/02  04:00:00,204.887178946,25.4158135985,60.9713941139,0.0,43.513341876,52.539744,135.086270315,130.232010315,4.83426,0.02
 01/02  05:00:00,220.138195835,33.5003612987,67.581041362,0.0,43.513341876,52.539744,140.468461847,135.614201847,4.83426,0.02
 01/02  06:00:00,214.014344534,36.1696303324,58.9360581033,0.0,43.513341876,52.539744,166.636059063,153.181385087,4.83426,8.62041397563
 01/02  07:00:00,196.021721193,73.2500246041,0.0,0.0,43.513341876,53.238744,2963.62944057,2958.77518057,4.83426,0.02
 01/02  08:00:00,360.748631039,73.2500246041,0.0,0.0,220.879908,53.238744,2341.06374584,2309.84602885,4.83426,26.3834569945
 01/02  09:00:00,446.347425561,73.2500246041,0.0,0.0,220.879908,145.652643033,1989.29380282,1926.45225526,36.25695,26.5845975681
 01/02  10:00:00,446.277158286,73.2500246041,0.0,0.0,220.879908,145.652643033,1842.20420157,1756.79490293,36.25695,49.1523486387
 01/02  11:00:00,452.211454354,73.2500246041,0.0,0.0,220.879908,151.653867033,1674.68716699,1576.83770483,48.3426,49.506862164
 01/02  12:00:00,453.214411762,73.2500246041,0.0,0.0,220.879908,151.653867033,1510.59404553,1417.19015638,48.3426,45.0612891468
 01/02  13:00:00,452.202681297,73.2919524479,0.0,0.0,220.879908,151.653867033,1445.94688485,1343.34538416,48.3426,54.2589006891
 01/02  14:00:00,446.304381042,73.3807837786,0.0,0.0,220.879908,145.652643033,1389.47603878,1310.94101331,24.1713,54.3637254636
 01/02  15:00:00,446.293231966,73.3995557291,0.0,0.0,220.879908,145.652643033,1333.48255808,1255.51302311,24.1713,53.7982349642
 01/02  16:00:00,438.299238144,73.2757026721,0.0,0.0,220.879908,137.835547516,1230.6689964,1180.9128183,4.83426,44.9219181013
 01/02  17:00:00,442.226533192,73.2500246041,0.0,0.0,220.879908,133.019064,1161.67465832,1121.20242916,4.83426,35.6379691596
 01/02  18:00:00,371.442899396,73.2500246041,0.0,0.0,220.879908,53.238744,1307.45217407,1258.08357661,4.83426,44.5343374632
 01/02  19:00:00,371.464324343,73.2500246041,0.0,0.0,220.879908,53.238744,1306.30132536,1265.68942641,4.83426,35.7776389475
 01/02  20:00:00,371.874514716,73.2500246041,0.0,0.0,220.879908,53.238744,1286.84437349,1264.63704566,4.83426,17.3730678281
 01/02  21:00:00,371.853173391,73.2500246041,0.0,0.0,220.879908,53.238744,1293.91922167,1280.40064181,4.83426,8.6843198585
 01/02  22:00:00,146.256510986,1.43367474406,26.7582751055,0.0,43.513341876,52.539744,14.3801765178,0.860756765461,4.83426,8.68515975238
 01/02  23:00:00,148.295195316,1.79209343007,28.5438923866,0.0,43.513341876,52.539744,14.8979492202,1.41667861104,4.83426,8.64701060914
 01/02  24:00:00,141.152720231,1.43367474406,20.7735914926,0.0,43.513341876,52.539744,6.5314583562,1.6771983562,4.83426,0.02
 01/03  01:00:00,143.744265013,1.79209343007,23.9723681629,0.0,43.513341876,52.539744,15.5827935382,2.12810707519,4.83426,8.62042646296
 01/03  02:00:00,138.72114637,1.5079586577,19.3013450334,0.0,43.513341876,52.539744,7.08589933518,2.23163933518,4.83426,0.02
 01/03  03:00:00,191.563243896,4.32647048551,68.4383336235,0.0,43.513341876,52.539744,8.15300956655,3.29874956655,4.83426,0.02
 01/03  04:00:00,196.566782387,4.20475853673,73.6500792704,0.0,43.513341876,52.539744,17.22724897,3.772527725,4.83426,8.62046124501
 01/03  05:00:00,211.730350674,4.77774038039,85.9710087578,0.0,43.513341876,52.539744,9.53970863625,4.68544863625,4.83426,0.02
 01/03  06:00:00,210.142081482,4.66431701489,84.876756769,0.0,43.513341876,52.539744,10.3385625619,5.48430256192,4.83426,0.02
 01/03  07:00:00,195.474399188,73.2500246041,0.0,0.0,43.513341876,53.238744,1805.58831612,1800.73405612,4.83426,0.02
 01/03  08:00:00,359.100311008,73.2500246041,0.0,0.0,220.879908,53.238744,1347.22607318,1316.00528307,4.83426,26.386530116
 01/03  09:00:00,445.077683128,73.2500246041,0.0017357464647,0.0,220.879908,145.652643033,1112.02172619,1040.32202124,36.25695,35.442754949
 01/03  10:00:00,445.011685412,73.2500246041,0.00246478977393,0.0,220.879908,145.652643033,1029.98503903,948.910239318,36.25695,44.8178497136
 01/03  11:00:00,450.833530363,73.2500246041,0.00169650192149,0.0,220.879908,151.653867033,957.73091071,864.510894232,48.3426,44.8774164777
 01/03  12:00:00,451.733682014,73.2500246041,0.0,0.0,220.879908,151.653867033,904.225811917,801.803993276,48.3426,54.0792186405
 01/03  13:00:00,450.861018094,73.2500246041,0.0,0.0,220.879908,151.653867033,934.012460752,831.423334083,48.3426,54.2465266684
 01/03  14:00:00,444.966590901,73.2500246041,0.0,0.0,220.879908,145.652643033,948.049625258,869.523954989,24.1713,54.3543702687
 01/03  15:00:00,444.953104828,73.2500246041,0.0,0.0,220.879908,145.652643033,927.443971608,858.43126939,24.1713,44.8414022181
 01/03  16:00:00,437.20407085,73.2500246041,0.0,0.0,220.879908,137.835547516,888.945026555,839.193603866,4.83426,44.9171626892
 01/03  17:00:00,441.204816496,73.2500246041,0.0,0.0,220.879908,133.019064,794.296871417,744.919812053,4.83426,44.5427993643
 01/03  18:00:00,370.398848851,73.2500246041,0.0,0.0,220.879908,53.238744,874.525809215,834.052120724,4.83426,35.6394284914
 01/03  19:00:00,370.40552558,73.2500246041,0.0,0.0,220.879908,53.238744,898.768131221,849.210462759,4.83426,44.7234084619
 01/03  20:00:00,370.495678694,73.2500246041,0.0,0.0,220.879908,53.238744,905.402761501,891.871433067,4.83426,8.69706843409
 01/03  21:00:00,370.585529319,73.2500246041,0.0,0.0,220.879908,53.238744,936.921008847,914.736944218,4.83426,17.3498046283
 01/03  22:00:00,117.414468738,0.0,0.0,0.0,43.513341876,52.539744,13.519288852,0.0,4.83426,8.68502885203
 01/03  23:00:00,117.503460903,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  24:00:00,118.55947568,0.0,0.0,0.0,43.513341876,52.539744,13.4698538302,0.0,4.83426,8.63559383017
 01/04  01:00:00,134.251662356,0.716837372028,15.7307554712,0.0,43.513341876,52.539744,5.07837982022,0.224119820217,4.83426,0.02
 01/04  02:00:00,147.387426415,1.43367474406,27.9428487885,0.0,43.513341876,52.539744,13.8560951957,0.401379120296,4.83426,8.62045607543
 01/04  03:00:00,137.867085881,1.07525605804,18.9301532547,0.0,43.513341876,52.539744,5.25756865709,0.40330865709,4.83426,0.02
 01/04  04:00:00,142.997969609,1.43367474406,23.617936019,0.0,43.513341876,52.539744,5.53669408173,0.682434081733,4.83426,0.02
 01/04  05:00:00,152.158647195,2.04823416175,31.5869733499,0.0,43.513341876,52.539744,6.01887951704,1.16461951704,4.83426,0.02
 01/04  06:00:00,213.596772028,5.16944805717,89.0364103228,0.0,43.513341876,52.539744,16.6971193468,3.24235563218,4.83426,8.62050371464
 01/04  07:00:00,194.761123356,73.2500246041,0.0,0.0,43.513341876,53.238744,1975.10517657,1970.25091657,4.83426,0.02
 01/04  08:00:00,359.85304132,73.2500246041,0.0,0.0,220.879908,53.238744,1750.13851153,1718.92174355,4.83426,26.3825079754
 01/04  09:00:00,446.120633411,73.2500246041,0.000757355938911,0.0,220.879908,145.652643033,1527.01355308,1455.31233207,36.25695,35.444271015
