Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.8331039248,5.40905108335,0.906835619483,0.950790393215,12.925468867,10.100111941,30.8954362275,30.8754362275,0.0,0.02
 01/01  02:00:00,38.1068286093,5.41497596699,0.816388900714,1.31024480725,12.925468867,10.100111941,34.7285842387,28.9681700393,0.0,5.76041419945
 01/01  03:00:00,33.9148686715,5.41358916395,0.580565664413,1.97453116531,8.34152022915,10.0650221343,35.7361148896,29.9758094883,0.0,5.76030540131
 01/01  04:00:00,34.1573548346,5.41220068339,0.448322866453,2.35065121385,8.34152022915,10.0650221343,31.7894319412,31.7694319412,0.0,0.02
 01/01  05:00:00,35.8455270866,5.40738498946,0.35733660722,2.52791522891,8.34152022915,11.6705166398,38.3835899672,32.6166748106,0.0,5.76691515658
 01/01  06:00:00,40.1006569372,5.40374300724,0.2730453263,2.71257728059,8.80141237637,15.3678112995,38.428813142,32.6552786227,0.0,5.77353451927
 01/01  07:00:00,59.7322921769,5.41479969365,0.617351580407,2.01206041729,18.5082010057,25.6353820695,42.7947632579,31.2425658181,0.0,11.5521974397
 01/01  08:00:00,70.5418251535,5.50503248527,1.75426499458,0.791203977638,19.4926561212,41.1001056674,40.6509689807,29.0318961242,0.0,11.6190728565
 01/01  09:00:00,94.4076402868,5.71755318715,4.00499983722,0.32002583059,26.3286599382,57.9988325916,64.0710786103,22.5697219687,0.0,41.5013566416
 01/01  10:00:00,80.4571170841,5.6332546202,5.29561425912,0.437068700102,26.2443270014,42.8153538416,68.4484786463,20.9522384864,18.025,29.4712401599
 01/01  11:00:00,55.837812718,5.50845214935,4.35880932042,0.754266474174,21.7447113004,23.4437158914,67.8219880687,20.4206376957,18.025,29.376350373
 01/01  12:00:00,53.6588126366,5.53076765822,4.36975031657,0.944232511228,19.3449162599,23.4437158914,60.6614690701,19.1877922145,18.025,23.4486768557
 01/01  13:00:00,53.7812046799,5.56806122371,4.5724927166,0.684609329958,19.190480192,23.7425572507,58.0468543562,16.6352023476,18.025,23.3866520086
 01/01  14:00:00,53.6430535299,5.56891665751,4.65722865067,0.434743173426,19.260583323,23.698576057,53.728986432,12.3200174431,18.025,23.3839689889
 01/01  15:00:00,53.5782679058,5.56554349149,4.68902762451,0.341533694543,19.260583323,23.698576057,47.2605190534,11.6848740024,18.025,17.550645051
 01/01  16:00:00,52.9198784696,5.52655073954,4.39633668372,0.30478062025,19.260583323,23.4086260847,55.929179677,14.5081962135,18.025,23.3959834635
 01/01  17:00:00,59.7013850952,5.45138263953,2.99515646635,0.343303434284,19.260583323,27.8781056672,41.7241723683,17.9324909015,18.025,5.76668146678
 01/01  18:00:00,70.6781378387,5.47594918666,1.62188524204,0.278189646099,18.1807569449,37.5792895564,26.4877961202,20.7154713753,0.0,5.77232474489
 01/01  19:00:00,85.4979107392,5.59114734922,2.57596736567,0.13500736092,32.6059821062,37.0465235296,36.4607597883,24.9216123602,0.0,11.539147428
 01/01  20:00:00,86.3442618962,5.66814047476,3.15882538195,0.0902312074038,36.8143715336,33.066984531,31.5773571935,25.7848148662,0.0,5.79254232735
 01/01  21:00:00,92.4952581321,5.77037158916,3.84088457927,0.0974319386434,36.43363367,38.8072253906,39.2511884644,27.6862612915,0.0,11.5649271729
 01/01  22:00:00,90.0581207441,5.76776042101,3.72240844552,0.138095355987,36.0963922311,36.7877557581,40.8736302387,29.3084170789,0.0,11.5652131599
