Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,75.7849378409,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,76.0609932507,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,75.9356471533,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91557494726,0.0,1.75125,1.16432494726
 01/01  04:00:00,83.7615754146,7.83232929086,0.0,0.0,3.49369000822,6.81298672936,14.8203345582,13.0490845582,1.75125,0.02
 01/01  05:00:00,90.3604155975,7.83232929086,0.0,0.0,3.49369000822,6.81298672936,16.4244909747,14.6532409747,1.75125,0.02
 01/01  06:00:00,93.8359174835,11.7484939363,0.0,0.0,3.49369000822,6.81298672936,27.470144004,24.5545832988,1.75125,1.16431070517
 01/01  07:00:00,122.555722635,26.9939304041,0.0,0.0,6.98738001645,14.1499734587,429.200244305,425.677744305,3.5025,0.02
 01/01  08:00:00,121.479388483,26.9939304041,0.0,0.0,6.98738001645,14.1499734587,393.71846208,390.19596208,3.5025,0.02
 01/01  09:00:00,153.338079456,26.9939304041,0.0,0.0,6.98738001645,14.1499734587,349.684853872,345.017946552,3.5025,1.16440732027
 01/01  10:00:00,126.104817992,26.9939304041,0.0,0.0,6.98738001645,14.1499734587,334.184707515,330.662207515,3.5025,0.02
 01/01  11:00:00,160.746721743,26.9939304041,0.0,0.0,27.9495200658,27.7759469175,299.393695239,291.223896744,7.005,1.16479849452
 01/01  12:00:00,191.948110789,26.9939304041,0.0,0.0,27.9495200658,27.7759469175,281.485939129,273.316129201,7.005,1.16480992801
 01/01  13:00:00,199.601051922,26.9939304041,0.0,0.0,41.9242800987,36.8599292233,244.956900587,234.451922248,9.34,1.16497833856
 01/01  14:00:00,197.329742935,26.9939304041,0.0,0.0,41.9242800987,36.8599292233,229.430557682,218.92568675,9.34,1.16487093189
 01/01  15:00:00,193.593139352,26.9939304041,0.0,0.0,41.9242800987,36.8599292233,222.972344922,213.612344922,9.34,0.02
 01/01  16:00:00,189.986307814,26.9939304041,0.0,0.0,41.9242800987,36.8599292233,229.570401668,219.065490421,9.34,1.16491124723
 01/01  17:00:00,196.363454372,26.9939304041,0.0,0.0,41.9242800987,36.8599292233,245.45574127,234.950908772,9.34,1.1648324984
