NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
2215,116 5210 BROADWAY,,10463,MARBLE HILL,MARBLE HILL,,8ROOFTOP LEASE LOCATION
2215,116 5220 BROADWAY,,10463,MARBLE HILL,MARBLE HILL,,8DEVELOPMENT MANAGEMENT
,,,,,,,OFFICE
2215,116 5470 BROADWAY,,10463,MARBLE HILL,MARBLE HILL,,8DAY CARE CENTER
2215,116 5480 BROADWAY,,10463,MARBLE HILL,MARBLE HILL,,8DAY CARE CENTER
2215,116 5360 BROADWAY,,10463,MARBLE HILL,MARBLE HILL,8,
2215,116 5240 BROADWAY,,10463,MARBLE HILL,MARBLE HILL,,8LAUNDRY ROOM/ REFRIGERATOR
,,,,,,,AND STOVE STORAGE ROOM
2215,116 5250 BROADWAY,,10463,MARBLE HILL,MARBLE HILL,8,
2215,116 89 WEST 225TH STREET,,10463,MARBLE HILL,MARBLE HILL,,8BULK STORAGE ROOM/ STORAGE
,,,,,,,ROOM
2215,116 79GAR WEST 225TH STREET,,10463,MARBLE HILL,MARBLE HILL,,8GARAGE
2215,116 69 WEST 225TH STREET,,10463,MARBLE HILL,MARBLE HILL,8,
2215,116 79 WEST 225TH STREET,,10463,MARBLE HILL,MARBLE HILL,,8CARPENTERS SHOP CONTRACT
,,,,,,,PAINT SHOP/ NYCHA PAINT SHOP/
,,,,,,,GROUNDS SHOP/ JANITORIAL
,,,,,,,SUPPLY ROOM/ OLD BRICK SHOP/ X-
,,,,,,,MAN SHOP
2215,116 49 WEST 225TH STREET,,10463,MARBLE HILL,MARBLE HILL,8,
2215,623 5365 BROADWAY,,10463,MARBLE HILL,MARBLE HILL,,8COMMUNITY CENTER / SENIOR
,,,,,,,CENTER
2215,623 125 WEST 228TH STREET,,10463,MARBLE HILL,MARBLE HILL,8,
2263,19180 BROOK AVENUE,,10454,MILL BROOK,MILL BROOK,1,
2263,19520 EAST 137TH STREET,,10454,MILL BROOK,MILL BROOK,1,
2263,19530 EAST 137TH STREET,,10454,MILL BROOK,MILL BROOK,1,
2263,19161 SAINT ANNS AVENUE,,10454,MILL BROOK,MILL BROOK,,1DAY CARE CENTER (VACANT)
2263,19165 SAINT ANNS AVENUE,,10454,MILL BROOK,MILL BROOK,,1PLUMBERS SHOP
2263,19201 SAINT ANNS AVENUE,,10454,MILL BROOK,MILL BROOK,,1COMMUNITY CENTER / SENIOR
,,,,,,,CENTER / DAY CARE CENTER/
,,,,,,,COMMUNITY OPERATIONS SPACE
2298,40200 ALEXANDER AVENUE,,10454,MITCHEL,MITCHEL,,1DAY CARE CENTER
2298,40210 ALEXANDER AVENUE,,10454,MITCHEL,MITCHEL,,1COMMUNITY CENTER
2298,40350 EAST 137TH STREET,,10454,MITCHEL,MITCHEL,,1PLASTERERS SHOP
2298,40352 EAST 137TH STREET,,10454,MITCHEL,MITCHEL,1,
2298,40360 EAST 137TH STREET,,10454,MITCHEL,MITCHEL,,1GLAZIERS SHOP/ STORAGE ROOM
2298,40362 EAST 137TH STREET,,10454,MITCHEL,MITCHEL,1,
2298,40225 WILLIS AVENUE,,10454,MITCHEL,MITCHEL,,1SALT AND SAND ROOM
2298,40227 WILLIS AVENUE,,10454,MITCHEL,MITCHEL,1,
2298,40175 WILLIS AVENUE,,10454,MITCHEL,MITCHEL,,1BRICKLAYERS SHOP
2298,40177 WILLIS AVENUE,,10454,MITCHEL,MITCHEL,1,
