DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code
2045159-DCA,Business,03/29/2018,282 SOUTH 5TH PARKING LLC,,282,S 5TH ST,,BROOKLYN,NY,11211,212-837-4590,Brooklyn,3
2021453-DCA,Business,03/31/2019,GGG PARKING GARAGE CORP.,,920,WESTCHESTER AVE,,BRONX,NY,10459,,Bronx,2
2001457-DCA,Business,03/31/2019,CHAMPION PARKING MIDTOWN LLC,,224,E 39TH ST,,NEW YORK,NY,10016,2128673999,Manhattan,1
2051479-DCA,Business,03/31/2019,C & C PARKING LOT CORP,,3560,WEBSTER AVE,,BRONX,NY,10467,,Bronx,2
1187066-DCA,Business,03/31/2019,CHAMPION PARKING 53 LLC,,821-827,7 AVE,,NEW YORK,NY,10019,2123085959,,
2033073-DCA,Business,03/31/2019,"LA MIRAGE CAR PARK, INC.",,17810,WEXFORD TER,,JAMAICA,NY,11432,2122216111,Queens,4
1130762-DCA,Business,03/31/2019,HJ PARKING LLC,ICON,301-309,W 51ST ST,,NEW YORK,NY,10019,2126869800,,
1381171-DCA,Business,03/31/2019,METROPOLITAN PARKING GROUP LLC,,69,5TH AVE,,NEW YORK,NY,10003,2126275805,Manhattan,1
0469552-DCA,Business,03/31/2019,CONSOLIDATED PARKING LLC,,146,3RD AVE,,NEW YORK,NY,10003,2126869800,Manhattan,1
2068641-DCA,Business,03/31/2019,ENC PARKING CORPORATION,,69,5TH AVE,,NEW YORK,NY,10003,9173251969,Manhattan,1
2068554-DCA,Business,03/31/2019,HERALD SQUARE PARKING LLC,,839,6TH AVE,,NEW YORK,NY,10001,2126869800,Manhattan,1
1078473-DCA,Business,03/31/2019,2910 ATLANTIC PARKING CORP.,,188,W 230TH ST,,BRONX,NY,10463,7183648350,Bronx,2
2045510-DCA,Business,03/31/2019,NORTH 12 PARKING LLC,,55,WYTHE AVE,,BROOKLYN,NY,11249,9143209630,Brooklyn,3
2068561-DCA,Business,03/31/2019,COOPER & 9TH PARKING LLC,,70,E 10TH ST,,NEW YORK,NY,10003,212-686-9800,Manhattan,1
2068557-DCA,Business,03/31/2019,CASTLE GARAGE LLC,,135,E 31ST ST,,NEW YORK,NY,10016,2126869800,Manhattan,1
2000587-DCA,Business,03/31/2019,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,95,OCEANA DR E,,BROOKLYN,NY,11235,212-502-5490,Brooklyn,3
1312936-DCA,Business,03/31/2019,"QUIK PARK 82ND STREET, LLC",,350,E 82ND ST,,NEW YORK,NY,10028,2128322066,Manhattan,1
1412999-DCA,Business,03/31/2019,QUIK PARK SCH GARAGE LLC,,236,LIVINGSTON ST,,BROOKLYN,NY,11201,2128322066,Brooklyn,3
1329614-DCA,Business,03/31/2019,"QUIK PARK EAST 67TH STREET, LLC",QUIK,400,E 67TH ST,,NEW YORK,NY,10065,2128322066,Manhattan,1
2069015-DCA,Business,03/31/2019,ONE PARKING 89TH STREET LLC,,205,W 89TH ST,,NEW YORK,NY,10024,4802722100,Manhattan,1
1306466-DCA,Business,03/31/2019,REALITY PARKING LLC,ICON,900,8TH AVE,,NEW YORK,NY,10019,2126869800,Manhattan,1
