latitude,longitude,hour,minute
42.3227667,-71.0782019,0,24
42.2997761,-71.1023192,1,4
42.3443581,-71.0671988,1,19
42.3439018,-71.0717021,1,20
42.2996668,-71.1014603,22,33
42.335058,-71.1679061,14,51
42.3579884,-71.0583858,2,25
42.3579884,-71.0583858,2,52
42.32267,-71.0781786,3,28
42.32267,-71.0781786,9,33
42.3229889,-71.0781509,9,39
42.3231025,-71.0781681,10,24
42.3229299,-71.0781786,10,28
42.3226926,-71.0782019,10,33
42.3229917,-71.0780882,20,44
42.3226434,-71.0779582,12,21
42.3348088,-71.0354418,11,28
42.3396237,-71.0467705,11,33
42.3341117,-71.0656319,11,38
42.3340481,-71.0752148,11,43
42.3202192,-71.0895063,11,48
42.3199333,-71.0888099,11,52
42.3198092,-71.0890072,11,57
42.319952,-71.0888099,12,2
42.3199333,-71.0888099,12,8
42.3168089,-71.0827978,12,13
42.3227629,-71.0781786,12,35
42.3226926,-71.0782019,13,23
42.3228556,-71.0781786,22,8
42.3229631,-71.0781554,13,48
42.3226554,-71.0782019,1,32
42.3485838,-71.0717253,1,26
42.3579969,-71.0583777,2,59
42.2999172,-71.1019477,3,19
42.299725,-71.1016925,5,9
42.3230561,-71.0781554,17,44
42.3229631,-71.0781554,6,53
42.3230886,-71.0782095,7,49
42.3226885,-71.0781786,18,40
42.3229844,-71.0781456,9,38
42.3229388,-71.0784628,9,44
42.3230301,-71.0781669,11,23
42.3231443,-71.0779882,20,24
42.3227072,-71.0781786,13,9
42.3230392,-71.0781528,22,14
42.3229844,-71.0781456,14,33
42.3230689,-71.0779688,16,4
42.3579712,-71.0583892,4,26
42.3226599,-71.0781899,5,33
42.3226885,-71.0781786,17,11
42.3226885,-71.0781786,6,44
42.3227186,-71.0780671,6,45
42.3226739,-71.0782019,18,11
42.3304168,-71.0523188,3,1
42.3303559,-71.0521795,3,2
42.3304089,-71.0522723,3,32
42.3305162,-71.0522491,3,34
42.3304009,-71.0522259,3,37
42.3318338,-71.052191,7,12
42.3303981,-71.0523188,7,31
42.3318338,-71.052191,7,34
42.3304314,-71.0522955,7,44
42.3232811,-71.0781239,19,36
42.3233738,-71.078103,19,53
42.3229406,-71.0781322,11,28
42.32267,-71.0781786,21,8
42.3229473,-71.0779965,21,29
42.3233517,-71.0783642,0,25
42.3228423,-71.0783178,0,38
42.3229844,-71.0781456,1,54
42.3233766,-71.0783496,15,35
42.3579677,-71.0584241,5,18
42.3226885,-71.0781786,17,33
42.323147,-71.0782471,8,20
42.32267,-71.0781786,8,20
42.3229236,-71.0781006,20,59
42.3226739,-71.0782019,21,41
42.2996494,-71.102176,0,23
42.3229929,-71.0781669,13,53
42.3579712,-71.0583892,2,18
42.2999713,-71.1021567,23,46
42.3582407,-71.0589347,3,10
42.334577,-71.0761512,15,40
42.3579884,-71.0583858,4,27
42.3579884,-71.0583858,5,31
42.3583414,-71.0589813,5,41
42.3229929,-71.0781669,6,42
42.3230144,-71.0781016,6,59
42.3230246,-71.0782311,7,24
42.3412775,-71.0766118,23,4
42.3426009,-71.077784,23,9
42.3427551,-71.0790143,23,14
42.3410799,-71.077575,23,20
42.342156,-71.0785499,23,25
42.3415636,-71.079049,23,29
42.3408394,-71.078341,23,34
42.3400406,-71.0762171,23,40
42.3412405,-71.0735129,0,5
42.3412405,-71.0735129,0,5
42.2993018,-71.1020987,0,56
42.2998448,-71.1014139,22,32
42.3226666,-71.0782134,22,58
42.3229406,-71.0781322,0,39
42.2997231,-71.1022263,1,6
42.3228732,-71.0781765,22,39
42.323101,-71.0783111,1,33
42.3485838,-71.0717253,1,26
42.3579884,-71.0583858,2,38
42.3230003,-71.0781554,15,33
42.3229844,-71.0781456,3,19
42.3229631,-71.0781554,4,54
42.2996211,-71.1017917,4,53
42.3579864,-71.0584241,3,33
42.3229631,-71.0781554,16,13
42.3229844,-71.0781456,8,48
42.3232475,-71.0781543,19,6
42.3231435,-71.0782148,11,44
42.3229406,-71.0781322,20,54
42.3229631,-71.0781554,16,39
42.32267,-71.0781786,7,12
42.3231847,-71.0782739,8,16
42.3227965,-71.0782708,14,9
42.32267,-71.0781786,23,33
42.3579884,-71.0583858,3,40
42.3229655,-71.0780528,9,54
42.3238947,-71.0780937,21,58
42.323269,-71.0781978,21,58
42.3230961,-71.0781061,21,59
42.3346155,-71.054942,22,58
42.3341661,-71.0545937,23,0
42.3321478,-71.05305,23,2
42.3317851,-71.0528296,23,4
42.3329464,-71.051042,23,8
42.3336663,-71.0499857,23,11
42.3336425,-71.0498465,23,11
42.3339019,-71.0497884,23,16
42.3337787,-71.0493937,23,16
42.3337787,-71.0493937,23,19
42.3341726,-71.0494171,23,21
42.3234366,-71.0787355,2,58
42.3504825,-71.0907551,3,40
42.3499754,-71.0926271,3,41
42.3494616,-71.0988115,3,43
42.3494616,-71.0988115,3,43
42.3494616,-71.0988115,3,43
42.3503211,-71.1003659,3,44
42.3506549,-71.0985141,3,44
42.3505418,-71.0966618,3,44
42.3503424,-71.094879,3,45
42.3504251,-71.0932702,3,45
42.3231278,-71.0781365,16,14
42.3229635,-71.0778888,17,19
42.3226885,-71.0781786,6,45
42.3230952,-71.078194,7,44
42.3226885,-71.0781786,18,54
