latitude,longitude,hour,minute
40.757977,-73.978165,15,11
40.731781,-74.006683,0,18
40.73777,-74.004707,18,49
40.759945,-73.974602,23,54
40.748528,-73.97625,23,25
40.764252,-73.966743,15,27
40.743977,-73.995804,11,1
40.756775,-73.989937,12,39
40.743137,-73.980072,18,15
40.786983,-73.977936,15,33
40.773167,-73.982452,13,11
40.749294,-73.99556,9,50
40.791321,-73.971497,12,7
40.774307,-73.98851,7,35
40.723221,-73.994911,15,42
40.708702,-74.010391,14,27
40.756287,-73.973732,22,9
40.767704,-73.968925,17,18
40.769737,-73.96212,6,8
40.756714,-73.989708,22,25
40.648766,-73.78331,23,41
40.771278,-73.956505,18,5
40.77932,-73.95578,13,29
40.764679,-73.978439,21,13
40.749954,-73.992172,18,36
40.689701,-73.992111,8,17
40.787735,-73.978653,22,39
40.769375,-73.965317,6,26
40.769142,-73.862709,14,2
40.74831,-73.977127,11,54
40.682724,-73.976318,8,16
40.761139,-73.966682,19,4
40.776482,-73.948334,17,34
40.724407,-73.993202,18,59
40.711113,-73.9655,3,0
40.749622,-73.991936,4,45
40.752102,-73.982384,18,45
40.721008,-73.993828,20,51
40.750366,-73.991142,3,20
40.759373,-73.987022,6,58
40.74313,-73.991173,0,46
40.750023,-73.99115,8,12
40.763168,-73.989342,19,45
40.779442,-73.959496,21,23
40.726418,-73.904716,1,12
40.768471,-73.95871,10,56
40.773998,-73.873154,17,38
40.756813,-73.990623,14,38
40.758705,-73.965843,10,35
40.758862,-73.981796,14,46
40.764542,-73.977318,15,17
40.7342,-73.986534,18,24
40.773125,-73.96666,12,20
40.768791,-73.958649,10,15
40.744606,-73.975922,13,56
40.774113,-73.963608,17,19
40.761166,-73.958481,13,16
40.747375,-73.985573,0,2
40.773998,-73.985184,17,54
40.751221,-73.967682,10,38
40.708904,-74.007469,20,13
40.758308,-73.9925,1,15
40.774441,-73.982315,18,12
40.746544,-73.977676,18,45
40.751884,-73.987732,11,33
40.770428,-73.864861,20,46
40.758427,-73.979706,18,45
40.737442,-73.988495,15,17
40.754601,-73.980118,15,4
40.707554,-74.004578,13,16
40.786156,-73.945915,15,33
40.644058,-73.790016,22,35
40.746025,-73.998337,18,48
0,0,22,19
40.763794,-73.982079,10,31
40.750191,-73.99469,2,22
40.77533,-73.947601,13,21
40.755215,-73.987099,21,58
40.749542,-73.98793,17,11
40.756313,-73.989296,10,44
40.756123,-73.961678,14,55
40.775887,-73.946854,10,42
40.762066,-73.986847,8,29
40.738503,-73.986351,14,0
40.737755,-73.9879,21,4
40.740654,-73.998299,13,51
40.723473,-74.003059,22,18
40.766479,-73.952026,12,50
40.80209,-73.945396,7,51
40.746563,-73.983917,10,54
40.76931,-73.984734,19,41
40.765472,-73.976288,8,30
40.744781,-73.995102,16,37
40.762138,-73.972366,10,8
40.754345,-74.00679,7,49
0,0,16,19
40.728676,-74.005058,0,15
40.769138,-73.960358,10,59
40.774078,-73.874374,20,49
0,0,18,42
0,0,20,19
40.758213,-73.985962,10,17
40.648636,-73.783318,23,26
40.707649,-74.00843,14,11
40.761723,-73.987953,12,8
40.719303,-73.994026,7,7
40.756405,-73.997856,3,13
40.73122,-73.988632,10,21
40.748875,-73.990204,10,8
40.743343,-73.994225,13,45
40.756092,-73.983711,23,33
40.747326,-74.000961,8,4
40.742233,-74.000534,12,48
40.750286,-73.991524,11,20
40.741451,-74.006844,16,16
40.788956,-73.970627,15,32
40.75679,-73.985481,18,42
40.723125,-73.988838,20,44
40.720913,-73.988708,0,38
40.767769,-73.981224,3,50
40.718311,-73.990692,19,41
40.766174,-73.952293,9,54
40.771465,-73.96151,15,47
40.705116,-74.007858,10,38
40.744701,-73.995338,12,44
40.756386,-73.989571,7,0
40.754845,-73.99514,19,28
40.75573,-73.993645,11,19
40.743454,-73.999763,9,50
40.734352,-73.999146,19,52
40.749485,-73.990356,16,31
40.783218,-73.982033,18,3
40.76532,-73.964081,12,19
40.721786,-74.00016,9,36
40.745564,-73.977966,12,40
40.748367,-73.98909,10,5
40.752464,-73.975433,10,42
40.726925,-74.003731,15,8
40.752361,-73.978653,16,33
40.742004,-73.977982,14,27
40.714039,-73.95079,12,21
40.679161,-73.995682,22,21
40.720692,-74.010124,15,34
40.743816,-73.99482,0,30
40.789288,-73.954712,16,4
40.787796,-73.955818,14,30
40.806396,-73.959908,16,46
40.749996,-73.971962,11,41
40.74577,-73.998047,2,9
40.77911,-73.962318,11,2
40.750572,-73.989059,16,6
40.59893,-73.954796,9,19
40.763561,-73.97345,20,48
40.76128,-73.980438,11,12
40.751698,-73.97522,22,29
40.764412,-73.966156,21,28
40.774628,-73.957909,10,1
40.720055,-73.996933,4,36
40.730068,-74.000313,4,37
40.720982,-73.997292,4,41
40.692734,-73.993134,4,39
40.756741,-73.966843,4,37
40.771442,-73.956451,4,26
40.740772,-74.005455,4,30
40.74015,-73.998657,4,37
40.789677,-73.954376,4,32
40.760544,-73.989914,4,31
40.761696,-73.963219,4,30
40.732834,-73.984451,4,2
40.809158,-73.944519,4,30
40.735142,-73.980049,4,33
40.760571,-73.962257,4,19
40.733406,-74.006317,4,18
40.76321,-73.977806,4,34
40.729927,-74.010414,4,4
40.756481,-73.967133,4,38
40.739998,-74.005142,4,14
40.814938,-73.94384,4,36
40.73542,-73.998161,4,16
40.766548,-73.98658,4,8
40.720623,-73.989471,4,31
40.744957,-73.982887,4,27
40.723179,-73.988449,4,24
40.757877,-73.960197,4,34
40.705051,-74.010147,4,25
40.717155,-73.956543,4,24
40.72398,-73.987923,4,29
40.762997,-73.985313,4,30
40.74332,-73.973907,4,22
40.723213,-73.989761,4,28
40.735306,-73.98571,4,36
40.73558,-74.009911,4,26
40.732533,-73.987656,4,25
40.744583,-74.00647,4,4
40.741982,-73.984886,4,42
40.805344,-73.962021,4,39
40.756634,-73.997772,4,34
40.721893,-73.999771,4,36
40.74432,-73.982964,4,23
0,0,4,38
40.756451,-73.972443,4,40
40.721195,-73.987801,4,30
40.719017,-73.989433,4,31
40.721001,-73.986855,4,41
40.728695,-73.987961,4,31
40.747444,-73.993034,4,34
40.747066,-73.986534,4,42
40.759922,-73.996262,4,41
40.747166,-73.98642,4,32
40.674507,-73.986771,4,33
40.783367,-73.945297,4,32
40.732334,-73.984695,4,37
40.719242,-73.985237,4,19
40.712772,-74.00927,4,41
40.713982,-73.961502,4,39
40.723808,-73.996246,4,31
40.821575,-73.954185,4,12
40.761196,-73.99054,4,34
40.74155,-74.00325,4,35
40.741055,-73.981491,4,37
40.714039,-74.006226,4,43
40.678902,-73.978752,4,38
40.721489,-73.993446,4,40
40.720203,-74.008476,4,38
40.793816,-73.972359,4,33
40.756313,-73.966034,4,33
40.741405,-74.007187,4,24
40.72438,-73.990746,4,35
40.718781,-73.988007,4,41
40.729069,-73.987015,4,41
40.778786,-73.981972,4,39
40.689205,-73.981209,4,41
40.740452,-73.998131,4,25
40.733383,-74.004265,4,39
40.731518,-74.000534,4,32
40.726509,-73.999199,4,31
40.757191,-73.987907,4,41
40.74966,-73.98822,4,29
40.760601,-73.973991,4,34
40.742031,-74.004494,4,43
