Borough,Block,Lot,Hour,Minute
MN,210,18,13,0
MN,1,101,13,0
MN,1373,50,13,2
MN,886,87,13,2
MN,850,10,13,3
MN,262,25,13,4
MN,1298,33,13,4
MN,1515,7505,13,4
MN,1,101,13,6
MN,1,10,13,6
MN,799,21,13,7
MN,824,11,13,8
MN,1,101,13,9
MN,851,1,13,9
MN,29,7502,13,9
MN,1897,19,13,10
MN,2077,57,13,10
MN,1281,1,13,11
MN,2215,623,13,11
MN,1,201,13,11
MN,2004,1,13,12
MN,742,39,13,12
MN,1819,15,13,12
MN,665,20,13,13
MN,873,1,13,13
MN,1248,1,13,14
MN,1319,12,13,14
MN,1,10,13,14
MN,825,31,13,15
MN,697,1,13,15
MN,834,48,13,15
MN,556,68,13,16
MN,2076,61,13,16
MN,665,72,13,16
MN,852,1,13,17
MN,1110,1,13,18
MN,2178,3,13,19
MN,2178,3,13,19
MN,851,63,13,19
MN,240,6,13,19
MN,1530,45,13,19
MN,599,64,13,21
MN,1515,33,13,21
MN,1819,40,13,23
MN,809,73,13,24
MN,36,30,13,24
MN,580,39,13,24
MN,1514,39,13,24
MN,2178,530,13,26
MN,1293,69,13,27
MN,1,201,13,31
MN,1,201,13,32
MN,1110,1,13,32
MN,1959,54,13,33
MN,1110,1,13,33
MN,1215,33,13,33
MN,1110,1,13,34
MN,241,10,13,34
MN,1,10,13,34
MN,880,42,13,35
MN,784,39,13,36
MN,810,1,13,37
MN,2178,530,13,39
MN,1,101,13,39
MN,1819,15,13,39
MN,868,64,13,39
MN,68,36,13,39
MN,1,101,13,42
MN,1395,38,13,42
MN,241,10,13,42
MN,1,10,13,43
MN,1774,9,13,44
MN,262,25,13,45
MN,863,74,13,46
MN,1,201,13,47
MN,16,160,13,47
MN,1527,6,13,48
MN,665,72,13,49
MN,886,87,13,51
MN,241,10,13,52
MN,2178,3,13,55
MN,862,51,13,56
MN,2215,623,13,57
MN,1819,40,13,57
MN,662,13,13,58
MN,184,8,14,0
MN,869,54,14,0
MN,1302,7501,14,1
MN,1,101,14,1
MN,1819,40,14,1
MN,665,72,14,1
MN,1819,40,14,3
MN,1,201,14,3
MN,1016,15,14,3
MN,1293,16,14,4
MN,2187,20,14,5
MN,803,35,14,7
MN,1,10,14,8
MN,1110,1,14,8
MN,1962,61,14,9
MN,859,39,14,9
MN,1819,15,14,11
MN,1819,15,14,12
MN,262,25,14,14
MN,1819,15,14,14
MN,508,46,14,14
MN,1819,15,14,14
MN,1819,15,14,15
MN,889,15,14,15
MN,1266,1,14,16
MN,463,31,14,17
MN,876,1,14,17
MN,1433,7,14,18
MN,528,21,14,18
MN,1,201,14,19
MN,1144,7,14,19
MN,1819,203,14,20
MN,835,41,14,20
MN,1,10,14,21
MN,835,41,14,21
MN,2178,530,14,21
MN,1819,15,14,24
MN,2255,2000,14,24
MN,241,10,14,25
MN,1110,1,14,25
MN,769,52,14,26
MN,1110,1,14,26
MN,1520,140,14,27
MN,549,1,14,29
MN,1110,1,14,29
MN,549,1,14,29
MN,1110,1,14,29
MN,665,1,14,30
MN,1819,15,14,30
MN,1286,1,14,33
MN,1819,15,14,33
MN,1,101,14,33
MN,1373,50,14,34
MN,241,10,14,35
MN,1412,57,14,35
MN,844,19,14,36
MN,810,1,14,36
MN,575,16,14,37
MN,1,10,14,38
MN,799,1,14,38
MN,53,7502,14,38
MN,102,1,14,40
MN,1819,15,14,40
MN,2178,3,14,40
MN,1819,40,14,42
MN,665,72,14,42
MN,522,38,14,43
MN,122,1,14,43
MN,2215,623,14,45
MN,848,61,14,47
MN,1,10,14,48
MN,1109,5,14,49
MN,1819,40,14,49
MN,880,24,14,50
MN,1,201,14,50
MN,1,201,14,50
MN,2091,38,14,51
MN,780,6,14,51
MN,920,12,14,51
MN,1373,7505,14,54
MN,353,43,14,54
MN,1655,38,14,54
MN,1219,59,14,54
MN,1280,1,14,54
MN,262,25,14,57
MN,262,25,14,58
MN,1808,8,14,59
MN,2189,25,15,0
MN,665,6,15,0
MN,1819,15,15,1
MN,1115,7,15,3
MN,187,16,15,3
MN,2189,25,15,3
MN,565,21,15,3
MN,1,201,15,4
MN,2215,623,15,4
MN,1819,40,15,4
MN,2215,680,15,5
MN,1327,7501,15,5
MN,316,200,15,5
MN,385,42,15,5
MN,385,42,15,5
MN,1819,2,15,7
MN,240,6,15,7
MN,2189,25,15,7
MN,2178,530,15,7
MN,758,37,15,8
MN,858,45,15,8
MN,1254,2,15,9
MN,63,21,15,10
MN,63,21,15,11
MN,13,1,15,11
MN,2215,116,15,11
MN,316,200,15,11
MN,2215,116,15,11
MN,1631,34,15,11
MN,9,14,15,15
MN,2215,116,15,15
MN,436,56,15,16
MN,1,10,15,18
MN,651,105,15,19
MN,651,5,15,20
MN,455,23,15,21
MN,1034,37,15,21
MN,1,201,15,21
MN,63,21,15,21
MN,1,10,15,22
MN,3,3,15,23
MN,511,1,15,24
MN,1,201,15,24
MN,1312,33,15,25
MN,834,33,15,26
MN,1332,47,15,26
MN,403,1,15,27
MN,241,10,15,27
MN,435,41,15,27
MN,2215,116,15,27
MN,1897,19,15,29
MN,511,1,15,30
MN,1,10,15,31
MN,316,200,15,32
MN,834,1,15,34
MN,1,201,15,35
MN,1,10,15,37
MN,1457,4,15,37
MN,1,10,15,38
MN,316,200,15,38
MN,2016,75,15,38
MN,2016,71,15,39
MN,618,5,15,40
MN,662,66,15,41
MN,1975,1,15,42
MN,241,10,15,43
MN,1819,40,15,45
MN,408,9,15,45
MN,2004,1,15,45
MN,408,9,15,46
MN,2,1,15,46
MN,1,101,15,46
MN,786,51,15,48
MN,1868,24,15,49
MN,1110,1,15,49
MN,1819,40,15,49
MN,845,2,15,50
MN,565,15,15,50
MN,834,1,15,51
MN,1819,40,15,51
MN,27,17,15,52
MN,1,10,15,52
MN,1,10,15,53
MN,2004,1,15,54
MN,240,6,15,55
MN,2178,530,15,55
MN,240,6,15,55
MN,2178,530,15,56
MN,809,59,15,56
MN,2215,116,15,56
MN,1819,15,15,57
MN,1280,1,15,57
MN,1819,15,15,57
MN,1300,122,15,57
MN,1315,44,15,58
MN,1819,15,15,58
MN,1819,15,15,58
MN,2178,530,15,58
MN,2178,530,15,59
MN,780,36,16,0
MN,834,1,16,0
MN,801,55,16,0
MN,665,72,16,0
MN,262,25,16,1
MN,316,200,16,2
MN,2178,530,16,2
MN,1,101,16,3
MN,1099,21,16,4
MN,835,1,16,6
MN,940,33,16,7
MN,46,9,16,9
MN,1014,20,16,9
MN,549,1,16,10
MN,1110,1,16,11
MN,1819,40,16,12
MN,1819,40,16,12
MN,1819,40,16,12
MN,738,33,16,12
MN,1,101,16,13
MN,262,25,16,13
MN,740,6,16,13
MN,2053,72,16,13
MN,739,1,16,13
MN,712,36,16,14
MN,2178,3,16,14
MN,834,48,16,14
MN,1013,7501,16,15
MN,1373,7506,16,15
MN,1819,15,16,16
MN,1819,15,16,16
MN,241,10,16,17
MN,1373,7506,16,18
MN,845,2,16,18
MN,539,22,16,18
MN,1,201,16,20
MN,535,36,16,21
MN,874,65,16,22
MN,547,1,16,22
MN,271,39,16,22
MN,728,60,16,22
MN,2106,1,16,22
MN,271,39,16,23
MN,270,32,16,23
MN,1327,7501,16,24
MN,656,7,16,24
MN,1,10,16,26
MN,656,7,16,26
MN,241,10,16,27
MN,1819,15,16,28
MN,1284,71,16,28
MN,452,53,16,29
MN,241,10,16,29
MN,846,23,16,29
MN,70,7501,16,30
MN,556,44,16,30
MN,1819,15,16,31
MN,888,1,16,31
MN,2215,680,16,32
MN,243,1,16,32
MN,124,24,16,32
MN,1995,26,16,32
MN,1621,2,16,33
MN,2178,3,16,33
MN,2040,40,16,33
MN,1988,150,16,34
MN,197,25,16,34
MN,2178,530,16,34
MN,1319,1,16,35
MN,25,10,16,35
MN,1373,70,16,35
MN,863,74,16,36
MN,164,45,16,36
MN,1302,22,16,36
MN,2178,530,16,36
MN,1258,34,16,37
MN,1304,33,16,38
MN,1294,1,16,38
MN,1527,45,16,38
MN,2255,2000,16,38
MN,1819,40,16,38
MN,1277,14,16,38
MN,16,225,16,39
MN,1373,50,16,40
MN,1304,20,16,40
MN,2187,20,16,41
MN,150,7503,16,41
MN,1539,7501,16,42
MN,119,1,16,42
MN,1305,20,16,42
MN,153,1,16,42
MN,122,1,16,43
MN,262,25,16,43
MN,1307,14,16,44
MN,316,200,16,44
MN,2004,1,16,44
MN,553,21,16,45
MN,2178,3,16,46
MN,1819,40,16,47
MN,2178,3,16,47
MN,1402,13,16,48
MN,316,200,16,48
MN,1726,69,16,49
MN,1373,30,16,50
MN,804,1,16,50
MN,1,101,16,51
MN,262,25,16,51
MN,262,25,16,51
MN,2178,3,16,52
MN,1819,15,16,52
MN,90,13,16,52
MN,2178,3,16,52
MN,556,21,16,53
MN,96,12,16,53
MN,1744,13,16,53
MN,2178,3,16,54
MN,1531,1,16,54
MN,2178,3,16,54
MN,262,25,16,54
MN,262,25,16,55
MN,1032,48,16,55
MN,809,45,16,55
MN,1378,33,16,55
MN,1,10,16,55
MN,1324,49,16,55
MN,651,105,16,55
MN,1323,47,16,56
MN,1370,42,16,56
MN,1370,1,16,56
MN,102,1,16,57
MN,316,200,16,57
MN,1,10,16,57
MN,241,10,16,57
MN,316,200,16,57
MN,1819,40,16,58
MN,199,34,16,58
MN,1,201,16,59
MN,262,25,17,0
MN,2178,530,17,0
MN,102,1,17,1
MN,262,25,17,2
MN,1110,1,17,2
MN,2215,623,17,3
MN,1,101,17,3
MN,855,24,17,4
MN,262,25,17,5
MN,1,101,17,5
MN,1744,13,17,5
MN,1,201,17,6
MN,1,201,17,6
MN,1,101,17,6
MN,1515,26,17,7
MN,231,7502,17,8
MN,2006,52,17,8
MN,758,1,17,8
MN,1271,167,17,8
MN,619,22,17,8
MN,2215,623,17,8
MN,1819,15,17,11
MN,665,73,17,11
MN,995,1,17,12
MN,230,7505,17,12
MN,812,56,17,12
MN,262,25,17,13
MN,1,201,17,13
MN,1,10,17,13
MN,49,1,17,14
MN,485,11,17,14
MN,62,7501,17,14
MN,1,101,17,15
MN,810,1,17,15
MN,798,49,17,16
MN,1373,50,17,16
MN,818,76,17,16
MN,799,1,17,17
MN,604,1,17,18
MN,665,1,17,18
MN,262,25,17,18
MN,553,1,17,18
MN,1,201,17,18
MN,2140,2,17,18
MN,552,33,17,18
MN,2178,530,17,19
MN,1,10,17,19
MN,2004,1,17,19
MN,1262,35,17,20
MN,1268,21,17,20
MN,880,50,17,21
MN,1259,48,17,21
MN,866,16,17,22
MN,1269,41,17,23
MN,1110,1,17,23
MN,802,71,17,23
MN,864,41,17,24
MN,1012,29,17,24
MN,37,1,17,25
MN,1280,1,17,25
MN,665,6,17,26
MN,2178,3,17,28
MN,2187,20,17,28
MN,153,1,17,28
MN,1819,40,17,29
MN,810,1,17,29
MN,1819,40,17,29
MN,722,37,17,29
MN,1280,1,17,29
MN,1,201,17,30
MN,1280,7501,17,30
MN,535,33,17,30
MN,1032,64,17,30
MN,783,34,17,32
MN,1110,1,17,33
MN,1819,40,17,33
MN,1819,40,17,34
MN,1819,40,17,34
MN,316,200,17,34
MN,1396,13,17,34
MN,63,21,17,35
MN,411,33,17,35
MN,914,36,17,36
MN,1,201,17,36
MN,2140,2,17,36
MN,1392,69,17,36
MN,1373,50,17,37
MN,1373,50,17,37
MN,1,101,17,38
MN,1,101,17,38
MN,644,64,17,38
MN,1414,45,17,38
MN,2005,24,17,39
MN,73,10,17,39
MN,665,73,17,39
MN,617,26,17,40
MN,510,38,17,41
MN,316,200,17,41
MN,2215,623,17,41
MN,202,7501,17,42
MN,1241,11,17,42
MN,1373,50,17,44
MN,1373,50,17,44
MN,511,1,17,45
MN,1009,1,17,45
MN,885,20,17,45
MN,1,10,17,45
MN,885,69,17,45
MN,2178,3,17,46
MN,914,1,17,46
MN,2178,3,17,46
MN,2178,3,17,46
MN,1110,1,17,46
MN,1,201,17,47
MN,1,201,17,48
MN,1,201,17,49
MN,1,101,17,49
MN,1819,40,17,50
MN,1819,40,17,50
MN,1982,59,17,50
MN,1,201,17,51
MN,205,14,17,52
MN,435,37,17,53
MN,1285,7501,17,53
MN,1373,50,17,53
MN,1,201,17,54
MN,656,7,17,54
MN,888,7502,17,54
MN,814,52,17,54
MN,889,22,17,54
MN,779,7,17,55
MN,852,1,17,55
MN,69,7502,17,57
MN,619,46,17,57
MN,1,101,17,57
MN,555,28,17,58
MN,828,9,17,59
MN,1819,40,18,0
MN,1,201,18,0
MN,1633,29,18,1
MN,1013,40,18,2
MN,12,1,18,2
MN,1326,22,18,2
MN,262,25,18,2
MN,442,1,18,2
MN,896,15,18,3
MN,781,1,18,3
MN,1,101,18,4
MN,781,1,18,4
MN,1034,32,18,4
MN,1,10,18,5
MN,772,79,18,6
MN,651,105,18,6
MN,1819,15,18,6
MN,1819,40,18,6
MN,1110,1,18,7
MN,749,24,18,8
MN,1,101,18,8
MN,408,9,18,9
MN,713,1,18,9
MN,1137,10,18,10
MN,865,67,18,10
MN,740,23,18,10
MN,764,10,18,11
MN,828,9,18,11
MN,1966,52,18,11
MN,316,200,18,13
MN,1381,1,18,13
MN,1819,40,18,13
MN,637,7503,18,13
MN,1819,40,18,13
MN,1819,40,18,14
MN,773,27,18,14
MN,665,73,18,14
MN,556,21,18,15
MN,262,25,18,15
MN,1110,1,18,15
MN,2140,2,18,15
MN,2140,2,18,16
MN,425,33,18,16
MN,2178,530,18,16
MN,812,6,18,17
MN,1009,1,18,17
MN,135,14,18,18
MN,97,24,18,18
MN,1819,40,18,20
MN,2178,3,18,20
MN,1819,15,18,20
MN,241,13,18,21
MN,1293,5,18,21
MN,846,22,18,22
MN,822,66,18,22
MN,662,62,18,22
MN,458,6,18,22
MN,810,1,18,24
MN,1,201,18,24
MN,2215,623,18,25
MN,810,1,18,26
MN,781,2,18,27
MN,781,2,18,27
MN,1,10,18,27
MN,122,1,18,27
MN,1819,15,18,27
MN,1026,26,18,28
MN,1016,5,18,28
MN,651,105,18,28
MN,96,12,18,29
MN,262,25,18,29
MN,240,30,18,30
MN,1,10,18,30
MN,262,25,18,30
MN,91,13,18,30
MN,503,17,18,30
MN,460,42,18,31
MN,2215,680,18,32
MN,256,14,18,32
MN,845,2,18,33
MN,1,201,18,33
MN,262,25,18,36
MN,991,29,18,36
MN,568,33,18,36
MN,2139,322,18,37
MN,258,1,18,37
MN,834,49,18,37
MN,2156,35,18,38
MN,409,43,18,39
MN,481,8,18,39
MN,262,25,18,39
MN,1819,15,18,40
MN,698,56,18,40
MN,1819,40,18,41
MN,1373,7502,18,42
MN,665,1,18,42
MN,425,1,18,43
MN,1323,47,18,43
MN,1530,21,18,44
MN,241,10,18,44
MN,1327,21,18,44
MN,1534,2,18,45
MN,316,200,18,45
MN,783,34,18,45
MN,1107,14,18,46
MN,1,10,18,46
MN,135,16,18,47
MN,262,25,18,47
MN,844,11,18,47
MN,241,10,18,47
MN,73,10,18,48
MN,1,101,18,48
MN,851,48,18,48
MN,1,101,18,48
MN,781,2,18,48
MN,262,25,18,48
MN,665,72,18,48
MN,457,1,18,49
MN,1272,63,18,49
MN,262,25,18,50
MN,316,200,18,50
MN,316,200,18,50
MN,208,20,18,50
MN,316,200,18,50
MN,1,201,18,50
MN,1,201,18,50
MN,601,47,18,51
MN,2180,505,18,51
MN,2178,530,18,51
MN,27,17,18,51
MN,1434,1,18,51
MN,316,200,18,51
MN,1,10,18,52
MN,262,25,18,52
MN,205,25,18,52
MN,1341,1,18,54
MN,448,5,18,54
MN,834,22,18,54
MN,994,16,18,54
MN,316,200,18,54
MN,739,1,18,55
MN,740,11,18,55
MN,1034,32,18,56
MN,1819,15,18,56
MN,1013,12,18,56
MN,505,31,18,56
MN,1233,7501,18,56
MN,1522,58,18,57
MN,1542,23,18,57
MN,1750,104,18,58
MN,628,4,18,58
MN,822,23,18,59
MN,1,101,18,59
MN,1819,40,18,59
MN,262,25,19,0
MN,27,17,19,0
MN,2215,623,19,1
MN,1373,50,19,1
MN,1,10,19,1
MN,316,200,19,2
MN,1310,35,19,2
MN,1672,17,19,3
MN,262,25,19,3
MN,2215,528,19,3
MN,1299,41,19,3
MN,544,76,19,3
MN,662,66,19,3
MN,418,1,19,3
MN,2178,3,19,4
MN,991,33,19,4
MN,1299,40,19,4
MN,510,37,19,5
MN,569,21,19,5
MN,2178,3,19,5
MN,2215,680,19,6
MN,316,200,19,7
MN,316,200,19,7
MN,316,200,19,8
MN,1819,40,19,9
MN,1110,1,19,9
MN,2215,116,19,9
MN,1819,40,19,9
MN,1110,1,19,9
MN,262,25,19,9
