Borough,Block,Lot,Hour,Minute
MN,810,78,15,18
MN,780,73,0,22
MN,595,7504,18,54
MN,1019,7501,23,58
MN,722,15,23,34
MN,884,84,15,38
MN,689,17,11,8
MN,924,62,18,20
MN,1925,7501,15,49
MN,1390,114,13,19
MN,1035,36,10,2
MN,1392,70,12,17
MN,1259,47,7,46
MN,1292,42,16,4
MN,1013,40,14,45
MN,708,41,22,19
MN,1491,17,17,20
MN,1261,34,6,13
MN,1232,55,22,36
MN,833,1,0,9
MN,572,43,18,23
MN,1395,56,13,37
MN,1125,9,21,22
MN,772,64,18,39
MN,1,10,8,22
MN,1883,59,22,44
MN,1396,116,6,28
MN,1024,29,14,27
MN,783,48,12,3
MN,1373,50,8,30
MN,1681,30,19,13
MN,564,26,17,48
MN,836,35,19,12
MN,1373,50,3,23
MN,1275,27,4,48
MN,842,7501,18,48
MN,367,100,21,2
MN,9,7,1,2
MN,1373,200,8,24
MN,783,34,19,57
MN,1393,38,21,25
MN,1020,7502,1,26
MN,1293,3,11,6
MN,2171,100,17,57
MN,1001,29,14,46
MN,1277,27,10,42
MN,1313,7501,14,55
MN,1164,37,15,25
MN,1017,104,18,36
MN,1376,69,12,28
MN,1292,37,10,20
MN,537,7501,14,8
MN,316,200,17,51
MN,836,15,13,26
MN,879,27,0,5
MN,1880,29,18,0
MN,304,2,10,56
MN,241,13,20,25
MN,1331,7501,1,23
MN,1879,26,18,19
MN,764,39,19,0
MN,863,44,11,48
MN,69,7502,21,6
MN,834,39,18,52
MN,834,80,15,28
MN,834,80,15,7
MN,564,1,13,32
MN,1868,20,15,48
MN,1373,20,22,59
MN,864,35,18,56
MN,586,66,10,46
MN,1033,29,2,24
MN,1144,32,13,34
MN,1302,7501,22,8
MN,1011,1,17,17
MN,811,21,10,46
MN,1321,22,14,57
MN,1495,1,10,51
MN,665,20,8,34
MN,864,35,14,6
MN,407,7503,21,11
MN,723,7502,13,55
MN,1296,7501,22,26
MN,1331,7503,12,58
MN,1745,1,7,51
MN,809,1,10,55
MN,772,15,19,49
MN,1285,46,8,41
MN,819,39,16,41
MN,1501,16,10,18
MN,1227,6,7,57
MN,1284,6,0,27
MN,1393,26,11,4
MN,1010,15,21,11
MN,1522,40,10,36
MN,316,200,23,49
MN,781,10,14,29
MN,1013,7501,12,12
MN,1007,29,7,19
MN,1819,40,3,34
MN,876,10,10,24
MN,1443,7501,10,31
MN,443,1,13,55
MN,863,4,23,36
MN,884,30,8,13
MN,528,52,12,55
MN,1338,7501,11,38
MN,780,73,16,22
MN,1872,43,15,35
MN,809,1,18,46
MN,492,38,20,46
MN,1644,33,0,54
MN,1307,59,3,53
MN,930,1,19,46
MN,1502,56,10,3
MN,822,31,16,6
MN,818,33,12,46
MN,1004,29,7,3
MN,528,21,19,37
MN,1023,11,11,35
MN,1277,27,9,57
MN,1137,10,20,8
MN,763,42,16,35
MN,1826,7503,18,14
MN,1395,17,12,25
MN,174,37,9,39
MN,927,25,12,44
MN,1284,33,10,13
MN,962,1,10,48
MN,773,1,15,16
MN,865,32,16,35
MN,885,33,14,29
MN,367,100,12,26
MN,564,22,22,38
MN,1264,5,16,1
MN,1988,74,0,45
MN,1207,29,16,7
MN,1288,3,14,47
MN,1139,1,16,56
MN,367,100,11,51
MN,1037,3,2,14
MN,1138,7501,11,11
MN,1303,14,16,22
MN,602,28,21,2
MN,849,7505,11,25
MN,994,1,22,33
MN,1240,7502,21,38
MN,1440,49,10,6
MN,73,10,4,46
MN,1066,12,4,48
MN,592,71,4,45
MN,214,2,4,49
MN,428,1,4,47
MN,966,1,4,46
MN,1874,29,4,44
MN,1023,64,4,44
MN,1015,29,4,43
MN,1819,15,4,48
MN,934,1,4,35
MN,2088,87,4,37
MN,962,1,4,35
MN,920,33,4,35
MN,316,200,4,37
MN,1211,63,4,39
MN,2180,1,4,31
MN,1337,1,4,40
MN,2009,61,4,38
MN,1819,15,4,38
MN,174,37,4,33
MN,1389,7503,4,38
MN,1373,50,4,43
MN,1027,7501,4,41
MN,1066,32,4,44
MN,1407,16,4,42
MN,1636,123,4,44
MN,1535,28,4,44
MN,1044,24,4,46
MN,1302,24,4,43
MN,1215,61,4,39
MN,508,53,4,47
MN,1987,34,4,43
MN,911,36,4,42
MN,384,33,4,45
MN,894,59,4,43
MN,64,7,4,44
MN,390,1,4,44
MN,316,200,4,44
MN,376,39,4,44
MN,887,82,4,46
MN,1027,56,4,46
MN,31,7501,4,46
MN,367,100,4,47
MN,1558,31,4,48
MN,1020,36,4,45
MN,1819,15,4,43
MN,764,53,4,47
MN,316,200,4,47
MN,1,10,4,48
MN,1,10,4,44
MN,1138,7502,4,42
MN,765,41,4,43
MN,407,36,4,42
MN,75,8,4,46
MN,36,18,4,44
MN,877,22,4,45
MN,16,7517,4,43
MN,1640,1,4,44
MN,241,13,4,47
MN,829,35,4,44
MN,16,205,4,45
MN,376,39,4,46
MN,399,44,4,47
MN,1253,48,4,45
MN,1,10,4,47
MN,1261,61,4,45
MN,528,21,4,46
