Borough,Block,Lot,Hour,Minute
MN,1264,40,15,11
MN,605,44,0,18
MN,625,40,18,49
MN,1289,14,23,54
MN,894,46,23,25
MN,1397,16,15,27
MN,772,47,11,1
MN,1013,7501,12,39
MN,885,49,18,15
MN,1231,55,15,33
MN,1137,36,13,11
MN,753,39,9,50
MN,1222,57,12,7
MN,1154,7501,7,35
MN,508,53,15,42
MN,48,1,14,27
MN,1304,7501,22,9
MN,1380,14,17,18
MN,1406,125,6,8
MN,1013,7501,22,25
MN,1450,50,18,5
MN,1514,56,13,29
MN,1009,44,21,13
MN,781,2,18,36
MN,73,10,8,17
MN,1246,29,22,39
MN,1384,32,6,26
MN,893,55,11,54
MN,262,25,8,16
MN,1332,48,19,4
MN,1566,10,17,34
MN,521,86,18,59
MN,316,200,3,0
MN,781,10,4,45
MN,841,49,18,45
MN,492,38,20,51
MN,783,34,3,20
MN,1017,10,6,58
MN,826,17,0,46
MN,809,1,8,12
MN,1059,32,19,45
MN,1496,21,21,23
MN,1426,24,10,56
MN,1819,40,17,38
MN,1032,29,14,38
MN,1329,28,10,35
MN,1001,29,14,46
MN,1010,29,15,17
MN,897,1,18,24
MN,1387,69,12,20
MN,1426,25,10,15
MN,939,1,13,56
MN,1390,7501,17,19
MN,1457,17,13,16
MN,834,39,0,2
MN,1156,30,17,54
MN,1339,7502,10,38
MN,78,7507,20,13
MN,1032,162,1,15
MN,1138,7502,18,12
MN,891,39,18,45
MN,812,22,11,33
MN,1264,5,18,45
MN,847,40,15,17
MN,1278,69,15,4
MN,75,1,13,16
MN,1671,3,15,33
MN,773,1,18,48
MN,1026,26,10,31
MN,780,73,2,22
MN,1565,22,13,21
MN,993,55,21,58
MN,835,1,17,11
MN,1013,57,10,44
MN,1367,20,14,55
MN,1583,1,10,42
MN,1040,29,8,29
MN,877,13,14,0
MN,875,1,21,4
MN,767,7503,13,51
MN,488,34,22,18
MN,1484,16,12,50
MN,1745,1,7,51
MN,862,16,10,54
MN,1131,7501,19,41
MN,1274,7503,8,30
MN,800,7501,16,37
MN,1292,52,10,8
MN,675,1,7,49
MN,528,21,0,15
MN,1426,5,10,59
MN,1819,40,20,49
MN,1017,29,10,17
MN,42,22,14,11
MN,1039,17,12,8
MN,424,7501,7,7
MN,734,66,3,13
MN,466,7502,10,21
MN,807,62,10,8
MN,798,62,13,45
MN,996,29,23,33
MN,722,37,8,4
MN,768,1,12,48
MN,783,34,11,20
MN,646,29,16,16
MN,1220,29,15,32
MN,996,156,18,42
MN,443,7503,20,44
MN,411,6,0,38
MN,1030,58,3,50
MN,414,62,19,41
MN,1484,16,9,54
MN,1408,156,15,47
MN,31,7501,10,38
MN,773,7501,12,44
MN,1013,7501,7,0
MN,760,1,19,28
MN,762,6,11,19
MN,769,67,9,50
MN,606,1,19,52
MN,808,7501,16,31
MN,1186,33,18,3
MN,1399,33,12,19
MN,474,29,9,36
MN,914,59,12,40
MN,807,7502,10,5
MN,1280,7501,10,42
MN,519,51,15,8
MN,1276,42,16,33
MN,910,7501,14,27
MN,316,200,12,21
MN,1,10,22,21
MN,188,7502,15,34
MN,799,11,0,30
MN,1604,1,16,4
MN,1507,69,14,30
MN,1867,64,16,46
MN,1335,7501,11,41
MN,773,1,2,9
MN,1493,69,11,2
MN,810,1,16,6
MN,1293,69,20,48
MN,1004,29,11,12
MN,1297,23,22,29
MN,1397,7505,21,28
MN,1508,27,10,1
MN,471,7502,4,36
MN,540,12,4,37
MN,481,1,4,41
MN,73,10,4,39
MN,1346,1,4,37
MN,1431,21,4,26
MN,646,43,4,30
MN,766,7503,4,37
MN,1604,1,4,32
MN,1036,54,4,31
MN,1435,49,4,30
MN,921,64,4,2
MN,1912,30,4,30
MN,926,34,4,33
MN,1435,16,4,19
MN,619,5,4,18
MN,1271,7501,4,34
MN,601,10,4,4
MN,1345,7501,4,38
MN,629,7503,4,14
MN,1919,64,4,36
MN,575,1,4,16
MN,1045,61,4,8
MN,416,68,4,31
MN,886,88,4,27
MN,429,1,4,24
MN,1372,35,4,34
MN,29,7501,4,25
MN,316,200,4,24
MN,444,42,4,29
MN,1023,1,4,30
MN,939,34,4,22
MN,422,53,4,28
MN,873,34,4,36
MN,638,4,4,26
MN,468,7,4,25
MN,715,63,4,4
MN,881,1,4,42
MN,1885,36,4,39
MN,734,66,4,34
MN,484,26,4,36
MN,885,88,4,23
MN,1304,20,4,40
MN,411,18,4,30
MN,410,33,4,31
MN,354,14,4,41
MN,463,28,4,31
MN,804,1,4,34
MN,833,7502,4,42
MN,1070,34,4,41
MN,833,49,4,32
MN,73,10,4,33
MN,1558,31,4,32
MN,921,1,4,37
MN,349,30,4,19
MN,123,7502,4,41
MN,316,200,4,39
MN,510,30,4,31
MN,2086,29,4,12
MN,1037,2,4,34
MN,739,1,4,35
MN,907,4,4,37
MN,149,33,4,43
MN,241,13,4,38
MN,425,16,4,40
MN,190,16,4,38
MN,1242,40,4,33
MN,1346,12,4,33
MN,646,18,4,24
MN,457,33,4,35
MN,353,43,4,41
MN,450,8,4,41
MN,1163,7503,4,39
MN,241,13,4,41
MN,792,70,4,25
MN,588,60,4,39
MN,552,36,4,32
MN,515,25,4,31
MN,1014,41,4,41
MN,809,45,4,29
MN,1290,15,4,34
MN,738,7502,4,43
MN,432,7501,4,19
MN,556,36,4,35
MN,764,37,4,37
MN,410,17,4,37
MN,909,34,4,17
MN,525,7504,4,22
MN,510,37,4,39
MN,407,28,4,33
MN,417,72,4,14
MN,1093,42,4,14
MN,1286,35,4,41
MN,441,7501,4,39
MN,1243,42,4,41
MN,816,78,4,43
MN,629,7502,4,38
MN,1826,7503,4,40
MN,1373,50,4,39
MN,478,12,4,29
MN,1293,50,4,38
MN,1032,54,4,30
MN,441,7501,4,16
MN,1302,22,4,38
MN,1341,49,4,27
MN,241,13,4,50
MN,1514,56,4,45
MN,1051,7503,4,20
MN,1341,28,11,4
MN,1427,23,11,3
MN,1209,1,11,6
MN,1887,22,11,0
MN,1272,56,10,52
MN,1182,12,11,4
MN,1373,50,10,58
MN,1282,21,11,4
MN,1227,29,11,3
MN,642,56,11,7
MN,1284,33,11,12
MN,511,19,10,58
MN,853,2,11,8
MN,346,1,11,5
MN,1507,40,11,9
MN,783,34,11,5
MN,510,30,11,7
MN,1171,130,11,9
MN,585,1,10,59
MN,1292,48,11,13
MN,1165,7505,11,13
MN,1558,23,11,12
MN,1238,46,10,54
MN,798,41,11,0
MN,1143,64,11,9
MN,1491,37,11,5
MN,122,1,11,0
MN,864,7502,11,8
MN,502,23,11,2
MN,1065,132,11,2
MN,191,8,10,48
MN,1277,27,11,4
MN,832,5,10,59
MN,241,13,11,0
MN,940,31,10,57
MN,799,21,11,4
MN,1380,23,11,11
MN,1090,7501,11,5
MN,839,5,11,8
MN,1514,7501,11,2
MN,505,36,11,11
MN,36,18,4,31
MN,646,43,4,24
MN,1541,1,4,25
MN,740,1,3,58
MN,1819,15,4,34
MN,1373,50,4,34
MN,1457,45,4,18
MN,1249,36,11,4
MN,531,41,11,6
MN,873,34,11,1
MN,1166,7501,11,2
MN,1411,113,10,59
MN,1198,29,10,58
MN,262,25,10,52
MN,1033,6,11,14
MN,624,23,11,2
MN,1304,20,11,10
MN,1833,7507,11,9
MN,1267,34,10,59
MN,709,1,11,5
MN,348,43,4,32
MN,1819,15,4,27
MN,412,21,4,42
MN,464,51,4,45
MN,764,37,4,39
MN,832,5,4,42
MN,353,43,4,40
MN,995,1,4,40
MN,740,1,4,25
MN,447,3,4,37
MN,469,7501,4,41
MN,1232,7501,4,50
MN,558,36,4,39
MN,1032,1,4,31
MN,469,7502,4,46
MN,807,17,4,51
MN,1665,30,4,39
MN,1435,1,4,41
MN,1034,29,4,38
MN,450,1,4,25
MN,1397,22,4,49
MN,1373,50,4,26
MN,316,200,4,29
MN,800,7504,4,53
MN,543,52,4,36
MN,384,29,4,32
MN,734,66,4,47
MN,895,31,11,2
MN,1373,50,10,55
MN,1819,40,10,53
MN,1221,29,10,56
MN,1065,132,11,2
MN,1438,51,11,6
MN,16,200,10,57
MN,1373,50,11,5
MN,1274,7501,11,3
MN,1014,58,11,5
