Borough,Block,Lot,Population
MN,2106,320,0
MN,1711,1,0
MN,1711,4,0
MN,1711,5,12
MN,1711,6,0
MN,1711,7,23
MN,1711,8,0
MN,1711,9,0
MN,1711,10,14
MN,1711,11,0
MN,1711,12,3
MN,1711,13,0
MN,1711,15,0
MN,1711,19,7
MN,1711,20,10
MN,1711,21,22
MN,1711,22,10
MN,1711,23,13
MN,1711,24,13
MN,1711,25,13
MN,1711,26,43
MN,1711,27,6
MN,1711,28,7
MN,1711,29,8
MN,1711,30,6
MN,1711,31,8
MN,1711,32,6
MN,1711,33,175
MN,1711,38,9
MN,1711,39,11
MN,1711,40,5
MN,1711,41,4
MN,1711,42,3
MN,1711,43,3
MN,1711,44,0
MN,1711,45,0
MN,1711,46,6
MN,1711,47,6
MN,1711,48,6
MN,1711,105,0
MN,1711,111,14
MN,1711,112,8
MN,1711,120,10
MN,1711,121,22
MN,1711,127,9
MN,1711,128,8
MN,1711,129,10
MN,1711,130,6
MN,1711,132,7
MN,1711,140,5
MN,1711,142,5
MN,1711,143,0
MN,1711,144,0
MN,1711,145,7
MN,1711,148,6
MN,1711,7501,16
MN,1806,1,11
MN,1806,2,0
MN,1806,3,0
MN,1806,4,12
MN,1806,5,7
MN,1806,6,8
MN,1806,7,55
MN,1806,9,8
MN,1806,10,6
MN,1806,11,10
MN,1806,12,7
MN,1806,13,7
MN,1806,14,7
MN,1806,15,6
MN,1806,16,6
MN,1806,17,6
MN,1806,18,7
MN,1806,19,7
MN,1806,20,7
MN,1806,21,19
MN,1806,22,6
MN,1806,23,16
MN,1806,25,21
MN,1806,26,6
MN,1806,27,6
MN,1806,28,10
MN,1806,29,0
MN,1806,31,0
MN,1806,32,0
MN,1806,36,0
MN,1806,37,4
MN,1806,38,5
MN,1806,39,31
MN,1806,40,31
MN,1806,41,40
MN,1806,43,6
MN,1806,44,6
MN,1806,45,8
MN,1806,46,0
MN,1806,47,11
MN,1806,48,12
MN,1806,49,12
MN,1806,101,3
MN,1806,105,7
MN,1806,109,8
MN,1806,111,11
MN,1806,115,6
MN,1806,119,6
MN,1806,120,6
MN,1806,121,4
MN,1806,127,6
MN,1806,128,18
MN,1806,129,19
MN,1806,145,24
MN,15,22,508
MN,15,7501,684
MN,15,7502,260
MN,51,1,0
MN,51,7,0
MN,51,13,0
MN,51,14,0
MN,51,15,0
MN,19,11,3
MN,19,13,0
MN,19,18,5
MN,19,19,0
MN,19,21,0
MN,19,24,0
MN,18,7501,577
MN,19,8,0
MN,1361,21,80
MN,1361,22,0
MN,1361,23,0
MN,1361,24,0
MN,1361,30,0
MN,1361,31,3
MN,1361,32,3
MN,1361,117,3
MN,1361,118,4
MN,1361,121,5
MN,1361,130,3
MN,1361,131,3
MN,1361,132,2
MN,1361,133,2
MN,1361,134,2
MN,1361,7501,6
MN,1486,1,80
MN,1486,4,0
MN,1486,5,0
MN,1486,49,62
MN,1486,103,10
MN,555,1,594
MN,632,36,2
MN,632,39,53
MN,632,45,48
MN,632,48,19
MN,632,52,3
MN,632,55,34
MN,632,56,19
MN,632,57,12
MN,632,59,2
MN,632,149,7
MN,632,151,5
MN,632,7501,8
MN,633,38,35
MN,633,40,3
MN,633,41,3
MN,633,42,5
MN,633,43,0
MN,633,44,4
MN,633,45,4
MN,633,46,3
MN,633,47,5
MN,633,48,6
MN,633,49,6
MN,633,50,4
MN,633,51,6
MN,633,52,5
MN,633,53,3
MN,633,54,4
MN,633,55,4
MN,633,56,3
MN,633,58,30
MN,633,60,36
MN,545,59,183
MN,545,7503,131
MN,630,30,6
MN,630,31,0
MN,630,34,3
MN,630,35,3
MN,630,37,3
MN,630,38,14
MN,630,39,3
MN,630,40,3
MN,630,43,57
MN,630,48,3
MN,630,50,4
MN,630,51,9
MN,630,52,0
MN,630,130,7
MN,630,135,3
MN,630,137,0
MN,630,139,3
MN,630,140,3
MN,630,7502,11
MN,630,8140,0
MN,2117,1,170
MN,2117,7,185
MN,2117,11,10
MN,2117,12,85
MN,2117,14,45
MN,2117,16,45
MN,2117,17,35
MN,2117,18,35
MN,2117,19,35
MN,2117,20,35
MN,2117,21,35
MN,2117,22,35
MN,2117,23,65
MN,2117,25,26
MN,2117,26,70
MN,2117,28,53
MN,2117,30,11
MN,2117,31,10
MN,2117,32,58
MN,2117,34,78
MN,2117,37,10
MN,2117,38,8
MN,2117,39,0
MN,2117,40,0
MN,2117,41,38
MN,2117,42,34
MN,2117,43,34
MN,2117,44,62
MN,2117,46,0
MN,2117,47,8
MN,2117,48,11
MN,2117,49,11
MN,2117,50,11
MN,2117,51,98
MN,2117,54,76
MN,2117,56,60
MN,2117,57,60
MN,2117,59,60
MN,2117,61,153
MN,1115,7501,636
MN,1115,7503,588
MN,2107,26,0
MN,2107,59,263
MN,2107,72,131
MN,1894,31,218
MN,1894,36,70
MN,1894,43,39
MN,1894,47,0
MN,1894,49,0
MN,1894,50,0
MN,1894,52,0
MN,1894,56,0
MN,1894,67,211
MN,260,75,452
MN,582,1,0
MN,582,18,0
MN,582,20,43
MN,582,22,2
MN,582,50,0
MN,583,1,5
MN,583,2,2
MN,583,3,8
MN,583,4,10
MN,583,5,5
MN,583,6,7
MN,583,7,6
MN,583,8,6
MN,583,9,6
MN,583,10,4
MN,583,11,7
MN,583,12,18
MN,583,13,7
MN,583,14,9
MN,583,15,8
MN,583,16,17
MN,583,17,13
MN,583,18,7
MN,583,19,7
MN,583,20,7
MN,583,21,8
MN,583,23,17
MN,583,24,18
MN,583,25,17
MN,583,26,16
MN,583,27,16
MN,583,29,89
MN,583,37,0
MN,583,38,3
MN,583,39,17
MN,583,40,31
MN,583,42,25
MN,583,44,4
MN,583,45,7
MN,583,46,6
MN,583,47,6
MN,583,48,5
MN,583,49,7
MN,583,50,7
MN,583,51,6
MN,583,52,6
MN,583,53,6
MN,583,54,6
MN,583,55,5
MN,583,56,6
MN,583,57,7
MN,583,58,5
MN,583,122,4
MN,583,123,4
MN,583,7501,6
MN,587,1,22
MN,587,3,2
MN,587,4,3
MN,587,5,3
MN,587,6,9
MN,587,7,19
MN,587,9,2
MN,587,10,3
MN,587,11,2
MN,587,12,20
MN,587,14,2
MN,587,15,2
MN,587,16,0
MN,587,35,0
MN,587,36,7
MN,587,37,0
MN,584,17,7
MN,584,18,26
MN,584,19,19
MN,584,20,25
MN,584,23,8
MN,584,24,6
MN,584,25,4
MN,584,26,13
MN,584,27,4
MN,584,28,10
MN,584,29,5
MN,584,30,2
MN,584,31,5
MN,584,32,6
MN,584,33,5
MN,584,34,5
MN,584,35,6
MN,584,36,7
MN,584,37,8
MN,584,38,2
MN,584,39,13
MN,584,40,7
MN,584,41,10
MN,584,42,17
MN,584,43,27
MN,584,45,19
MN,584,46,78
MN,584,49,8
MN,584,50,12
MN,584,128,3
MN,584,7501,195
MN,584,57,3
MN,584,58,3
MN,584,59,25
MN,584,61,47
MN,587,43,2
MN,587,44,27
MN,587,46,55
MN,587,49,2
MN,587,50,4
MN,587,51,4
MN,587,52,4
MN,587,53,5
MN,587,54,2
MN,587,55,4
MN,587,56,0
MN,587,61,0
MN,587,62,4
MN,587,63,4
MN,587,64,4
MN,587,65,3
MN,587,66,2
MN,587,7501,31
MN,1768,1,72
MN,1768,4,13
MN,1768,5,22
MN,1768,6,22
MN,1768,7,42
MN,1768,9,20
MN,1768,11,9
MN,1768,12,244
MN,1768,69,0
MN,1768,70,0
MN,1768,71,0
MN,1768,111,11
MN,1768,169,0
MN,1768,170,0
MN,1768,21,0
MN,1768,33,198
MN,1768,38,18
MN,1768,39,2
MN,1768,40,0
MN,720,1,1
MN,720,2,7
MN,720,3,5
MN,720,4,5
MN,720,5,7
MN,720,6,6
MN,720,7,6
MN,720,8,7
MN,720,9,7
MN,720,10,16
MN,720,12,15
MN,720,14,13
MN,720,16,13
MN,720,18,13
MN,720,21,6
MN,720,22,6
MN,720,23,9
MN,720,24,8
MN,720,25,0
MN,720,27,9
MN,720,28,5
MN,720,29,6
MN,720,30,6
MN,720,31,8
MN,720,32,8
MN,720,34,17
MN,720,35,6
MN,720,36,8
MN,720,38,7
MN,720,39,8
MN,720,40,6
MN,720,41,6
MN,720,42,10
MN,720,45,80
MN,720,47,30
MN,720,49,53
MN,720,55,30
MN,720,60,16
MN,720,61,8
MN,720,63,16
MN,720,64,12
MN,720,65,12
MN,720,66,12
MN,720,67,11
MN,720,68,12
MN,720,69,12
MN,720,70,12
MN,720,71,16
MN,720,72,12
MN,720,73,12
MN,720,74,11
MN,720,75,10
MN,720,76,10
MN,720,77,10
MN,720,78,10
MN,720,79,10
MN,720,80,10
MN,720,82,19
MN,720,7501,53
MN,720,7502,14
MN,720,7503,8
MN,720,7504,9
MN,1770,20,17
MN,1770,21,32
MN,1770,23,12
MN,1770,24,0
MN,1770,25,0
MN,1770,27,0
MN,1770,28,6
MN,1770,29,7
MN,1770,31,0
MN,1770,32,7
MN,1770,33,0
MN,1770,36,0
MN,1770,38,5
MN,1770,39,0
MN,1770,40,14
MN,1770,41,12
MN,1770,42,10
MN,1770,43,0
MN,1770,45,0
MN,1770,46,0
MN,1770,48,34
MN,1770,50,49
MN,1770,53,34
MN,1770,75,2
MN,1770,76,2
MN,1770,77,2
MN,1770,78,2
MN,1770,79,0
MN,1770,80,2
MN,1770,81,2
MN,1770,129,4
MN,1769,29,0
MN,1769,32,3
MN,1769,33,0
MN,1769,45,0
MN,1769,132,0
MN,1769,7501,0
MN,1769,21,141
MN,1769,1,0
MN,1769,3,0
MN,1769,5,216
MN,484,1,72
MN,484,3,0
MN,484,9,0
MN,484,11,6
MN,484,12,0
MN,484,23,7
MN,484,24,0
MN,484,26,27
MN,484,28,6
MN,484,31,3
MN,484,32,13
MN,484,7501,16
MN,484,7502,0
MN,891,27,192
MN,891,29,8
MN,891,30,65
MN,891,34,4
MN,891,35,7
MN,891,36,0
MN,891,37,5
MN,891,39,142
MN,891,44,6
MN,891,45,2
MN,891,46,22
MN,891,48,4
MN,891,49,2
MN,891,50,3
MN,891,51,4
MN,891,52,2
MN,891,55,6
MN,891,56,2
MN,891,57,0
MN,891,58,0
MN,891,59,60
MN,891,62,63
MN,891,66,109
MN,2218,5,83
MN,2218,8,85
MN,2218,11,39
MN,2218,12,41
MN,2218,13,41
MN,2218,14,41
MN,2218,15,41
MN,2218,17,52
MN,2218,25,526
MN,2218,35,272
MN,1662,10,0
MN,1662,16,700
MN,1662,35,0
MN,1662,40,0
MN,898,1,359
MN,898,7,11
MN,898,8,8
MN,898,9,7
MN,898,10,6
MN,898,11,11
MN,898,13,6
MN,898,14,5
MN,898,15,7
MN,898,16,0
MN,898,21,11
MN,898,22,6
MN,898,23,7
MN,898,24,11
MN,898,25,0
MN,898,38,12
MN,898,39,36
MN,898,42,8
MN,898,43,8
MN,898,44,8
MN,898,45,10
MN,898,46,0
MN,898,47,6
MN,898,48,6
MN,898,49,10
MN,898,50,7
MN,898,51,7
MN,898,52,9
MN,898,7501,223
MN,898,7502,45
MN,1208,1,442
MN,1208,11,7
MN,1208,12,5
MN,1208,13,8
MN,1208,14,8
MN,1208,15,8
MN,1208,16,3
MN,1208,17,4
MN,1208,18,4
MN,1208,19,4
MN,1208,20,6
MN,1208,21,5
MN,1208,22,14
MN,1208,23,5
MN,1208,24,5
MN,1208,25,4
MN,1208,26,4
MN,1208,27,7
MN,1208,29,394
MN,1208,38,4
MN,1208,39,9
MN,1208,40,7
MN,1208,41,8
MN,1208,42,6
MN,1208,43,6
MN,1208,44,4
MN,1208,45,6
MN,1208,46,6
MN,1208,47,6
MN,1208,48,4
MN,1208,49,4
