Borough,Block,Lot,Population
MN,1,10,814.9678490663756
MN,1,101,216.4321697716912
MN,1,201,236.31386994852733
MN,2,1,125.88426636387908
MN,2,2,78.78764667181659
MN,2,23,16.958036286771932
MN,3,1,341.7536229371793
MN,3,10,3115.8212441528835
MN,4,7501,31317.507549505266
MN,5,10,17539.762070558652
MN,5,7501,10741.970021699562
MN,7,27,5224.7134025029345
MN,7,28,2460.5069372130265
MN,7,29,80.73731027047677
MN,7,30,91.20008977192754
MN,7,31,80.44732164343836
MN,7,33,73.32542720715229
MN,7,35,56.879873643013234
MN,7,37,150.0187716954622
MN,7,38,10.743830036277588
MN,7,7501,13.356139581108794
MN,7,7502,20.039691396659958
MN,8,39,26.981020011480886
MN,8,51,51.37619106366604
MN,8,7501,59.12892173665956
MN,9,1,12481.102104701446
MN,9,7,7.277124946246189
MN,9,14,10468.968235787457
MN,9,29,15423.55086675569
MN,10,1,8427.987483072266
MN,10,14,7581.360719769023
MN,10,15,1370.9237117095213
MN,10,16,8525.414031887285
MN,10,19,1585.8118091392994
MN,10,23,7924.13322826055
MN,10,32,222.4994217210897
MN,10,33,67.85644339221851
MN,11,1,26541.589138383777
MN,11,7,1365.2278335241524
MN,11,9,1312.3809406436571
MN,11,10,4.167686269942673
MN,11,11,2013.9542739055682
MN,11,12,517.8200686337909
MN,11,14,2.6763636564282174
MN,11,15,154.5067455502069
MN,11,17,1168.0242729106124
MN,11,21,8384.441741526998
MN,11,26,6702.754413985294
MN,11,29,32.8608476869441
MN,11,7501,24.860354847849017
MN,12,1,6804.785355664208
MN,13,1,4625.838267356646
MN,13,5,10415.599510935494
MN,13,27,7331.916792726622
MN,15,22,8.932511855226265
MN,15,7501,1615.81732424804
MN,15,7502,8.359068697603506
MN,16,1,28528.421524739275
MN,16,3,7.707214792656505
MN,16,10,60.253624262197235
MN,16,15,7.312390573362011
MN,16,20,6.94419508932551
MN,16,40,68.78684589813497
MN,16,100,54.55021023129012
MN,16,120,25559.346139960187
MN,16,125,34018.4879917693
MN,16,140,29243.397865265557
MN,16,150,27410.840589974454
MN,16,180,10.146868572168913
MN,16,185,7.116846038114583
MN,16,195,11.427981221318285
MN,16,200,14.981211112061134
MN,16,205,5.987940291060681
MN,16,210,8.559585178024877
MN,16,215,185.81935267130999
MN,16,220,56.3582390489468
MN,16,221,6.359248778021349
MN,16,225,9999.025626638402
MN,16,260,32474.7725132878
MN,16,7501,5.074857929241624
MN,16,7502,5.753700570710439
MN,16,7503,2.828788057637457
MN,16,7504,4.120792584888881
MN,16,7505,5.46154465774315
MN,16,7506,2.639337313872898
MN,16,7507,4.1713157137645664
MN,16,7508,10.73603107591618
MN,16,7509,25.354012915608166
MN,16,7510,7.6227324125962825
MN,16,7511,12.272582674348612
MN,16,7512,2858.7377001906966
MN,16,7513,56.5174226067746
MN,16,7514,8.798742484727857
MN,16,7515,11.951604606980116
MN,16,7516,28.532230665539853
MN,16,7517,29.58906043631196
MN,16,7518,12.051199016258812
MN,16,7519,10.765756854535878
MN,16,7520,21.344838849671284
MN,16,7521,7.196811388146094
MN,17,29,8.851063740453817
MN,17,45,951.7707389960894
MN,17,7501,13.551275750247878
MN,17,7502,5.134955779336109
MN,18,100,1443.0323951893295
MN,18,7501,27.93192930807406
MN,19,8,0.720949660783174
MN,19,11,9.2665065440429
MN,19,18,10.763180806321996
MN,19,19,1386.2213087497246
MN,19,21,5654.242685107087
MN,20,1,7015.297884362002
MN,20,4,10253.374050044164
MN,20,9,7899.868686745202
